"HI_number","Correction_note","Format","Source_Tape_Generation","Mastering Offset Timecode","Run_Time","Series_Title","Meeting_Information","Title","Alternate_Titles","Date_of_Production","Location_Venue","Language","Main_Production_Credits","Additional_Production_Credits","Participants","Performers","Worktypes","Performance_Genres","Summary","Subjects","Rights_Holder","Broadcast_Note","Note_to_Cataloger"
"HI2013.006_01","Please, note the change in SUMMARY/ABSTRACT (520)","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: no brand T-120","original recording","0:04:38;00","01:27:34;00","New WORLD Theater Collection",,"Quinceañera",,"1998 Feb. 6.","University of Massachusetts, Amherst","English and Spanish","Alberto Antonio Araiza, creator ; Paul Bonin-Rodriguez, creator ; Michael Marínez, creator ; Joe Salvatore, director.","A. Montali, videographer.",,"Alberto Antonio Araiza, performer ; Paul Bonin-Rodriguez, performer ; Michael Marínez, performer.","Performance","Theater|Storytelling|Visual arts|Ritual","[SUMMARY] ‘Quinceañera’ is a video documentation of a performance created collaboratively to address the 15th anniversary of the AIDS pandemic. As a collaborative creation, these stories can be read not only like personal stories, but also as the stories of a community. Alberto Antonio Araiza, Paul Bonin-Rodriguez, and Michael Marínez worked together in community-based activism, and create a multi-disciplinary performance piece that involves storytelling, ritual, performance and visual arts. For this reason, ‘Quinceañera’ transits between the cheerfulness of a creative process and the engagement with a topic that is full of fear and sorrow. The ghost of AIDS permeates relations between persons and their own traditions, stories, and histories. Particularly, the social ritual of the ‘quinceañera’ – the debutante party reserved for young girls in Spanish-speaking communities – becomes a space of contesting gender and sexuality roles. At the same time that the piece reveals how rituals are gendered, it also highlights how affective responses to pop culture can be understood as newer familiar traditions. The role of Spanish language, unapologetically spoken in the piece, underlines the fact that gender, ethnicity, and race are intertwined in social marginalization. Along with an honest and strong affirmation of race and sexuality, the virus that marks the body signals identity and belonging. The three male characters explain how AIDS affected gay population, and the discrimination that comes with the epidemic. The group of men breaks into songs advocating for justice for all people infected with AIDS, and the entire queer community. The video documentation also features a talk back with the performers and the audience members. [BIO] From 1979-2009, the New WORLD Theater worked at the intersection of artistic practice, community engagement, scholarship, and activism toward a vision of a ‘new world’—one that broke the confines of multiculturalism and was an artistic harbinger of America’s shifting demographics. From a geographic ‘outpost’ in New England, New WORLD Theater evolved from a community organizing project and the Northeast point on a theater touring compass, to a protective studio to hone new work, a site of international intersections from South Africa to the South Bronx, and the home of inspired and rigorous collaborations with Western Massachusetts youth. New performance work development at New WORLD defied the conventional theater play lab as ghetto for artists of color; artists were met where they wanted to be in the imagining of new approaches, methods, and production.","Gender identity|Quinceañera (Social custom)|AIDS (Disease) -- arts and politics","University of Massachusetts Amherst c/o Dennis F. Conway",,"Please disregard the first 4 minutes -- mastering offset is 0:04:38;00"
"HI2013.007_01","Please, note the change in SUMMARY/ABSTRACT (520) and in PARTICIPANT(S) (511_0)","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: no brand T-120","original recording",,"0:13:45;00","New WORLD Theater Collection",,"Project 2050 Trailer: The Art of Becoming",,2001,"University of Massachusetts, Amherst","English","Project 2050: A collaboration with youth, artists, scholars and communities, creator ; New WORLD Theater, producer.",,,,"Documentary",,"[BIO] From 1979-2009, the New WORLD Theater worked at the intersection of artistic practice, community engagement, scholarship, and activism toward a vision of a ‘new world’—one that broke the confines of multiculturalism and was an artistic harbinger of America’s shifting demographics. From a geographic ‘outpost’ in New England, New WORLD Theater evolved from a community organizing project and the Northeast point on a theater touring compass, to a protective studio to hone new work, a site of international intersections from South Africa to the South Bronx, and the home of inspired and rigorous collaborations with Western Massachusetts youth. New performance work development at New WORLD defied the conventional theater play lab as ghetto for artists of color; artists were met where they wanted to be in the imagining of new approaches, methods, and production. One of New WORLD Theater’s artistic legacies is Project 2050, a multi-year youth arts initiative built on the demographic projection that people of color would become the majority in the United States by 2050. The program brought together professional artists, youth communities from Massachusetts, scholars, and community activists to engage civic dialogue and create original performances based on themes that addressed young performers’ dreams and concerns. Performances were created from workshops that included playwriting, poetry, breakdancing, drumming, beatboxing, lyricism, singing, songwriting, stepping, and visual art. [SUMMARY] This video documentation features Project 2050, giving a detailed explanation of this initiative’s goals. Roberta Uno, founder and artistic director of New WORLD Theater briefly describes the reach of the project, and explains the metaphor – and demographic projection – that in year 2050 people of color will out number white people. The video presents teachers from the program, discussing the future of art, race, and aesthetics. Also, the video showcases artistic works created by youth artists involved with Project 2050.  In the summer of 2001, these pieces explored identity politics, immigration, incarceration, exploitation, negotiation, and identification as main topics addressed through artistic and activist work. Young performers and their mentors interpellate industrial projects and community survival, discrimination, solidarity, and heritage narratives.  The vitality of the youth art program is felt through student testimonials and it is further related to the necessity to make such program accessible in public schools. As it is highlighted in the credits, all students, artists and scholars, counselors, and staff involved in the project worked together to reach ‘year 2001 and counting….’","Performing arts and youth|Performing arts -- Social justice|Youth -- Political participation -- Performing arts","University of Massachusetts Amherst c/o Dennis F. Conway",,
"HI2013.008_01","Please, note the change in SUMMARY/ABSTRACT (520)","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: Maxell T-120 STD","original recording","0:00:15;00","0:33:10;00","New WORLD Theater Collection",,"Interview with Roberta Uno (1991)",,"1991 Aug. 7.","Black Theatre Festival, North Carolina","English",,,"Roberta Uno, interviewee ; Kathy Perkins , interviewer.",,"Interview",,"[SUMMARY] This video documentation features an interview with Roberta Uno, founder and artistic director of New WORLD Theater at the Fine Arts Center at the University of Massachusetts in Amherst. She gives an account of New WORLD Theater’s historical trajectory, highlighting the fact that working with young performers from diverse ethnic and racial backgrounds require both a critical and committed perspective. Following the mission of providing a multi-cultural space and stage for artists of color, and contrary to the idea of a ‘melting pot,’ she proposes to show the individualities of each tradition, and look for productive dialogues from a comparative approach, which acknowledges and respects similarities and differences. Uno also underlines the importance of funding the theater space through allies in the community and their support to generate a space for cultural diverse work – a work that can only be developed collaboratively.  Uno extends this dialogue into the process of reaching out to the local theater community and working directly with individuals to create performance works that defy cultural biases that a traditional framework may impose upon artists of color. In 1991, New WORLD Theater was in itself a big achievement, being ahead of its time as a cultural institution. By the second decade of the 21st century, it is possible not only to see the development of a visionary project, but also to understand Roberta Uno’s awareness of archiving artistic pieces, and to organize them by topics so that they can be accessible for researchers and artists.[BIO] From 1979-2009, the New WORLD Theater worked at the intersection of artistic practice, community engagement, scholarship, and activism toward a vision of a ‘new world’—one that broke the confines of multiculturalism and was an artistic harbinger of America’s shifting demographics. From a geographic ‘outpost’ in New England, New WORLD Theater evolved from a community organizing project and the Northeast point on a theater touring compass, to a protective studio to hone new work, a site of international intersections from South Africa to the South Bronx, and the home of inspired and rigorous collaborations with Western Massachusetts youth. New performance work development at New WORLD defied the conventional theater play lab as ghetto for artists of color; artists were met where they wanted to be in the imagining of new approaches, methods, and production.","Performing arts and youth|Performing arts -- Social justice|Uno, Roberta, 1956-|Race in theater -- Political aspects","University of Massachusetts Amherst c/o Dennis F. Conway",,
"HI2013.009_01","Please, note the change in SUMMARY/ABSTRACT (520)","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: Maxell P/l Plus T-120","original recording",,"00:05:36;00","New WORLD Theater Collection",,"Project 2050: Time Capsule",,2000,"University of Massachusetts, Amherst",,"Roberta Uno with Keith Bailey, creator.",,,"Josh Arond; Tiffany Campbell; Cristina Delgado; Damaris Delgado, performers ; MJ Donoghue; Jamille Hazard; Aisha Jordan, performers ; Andre McPherson; Nuk Thann; Mikiko Thelwell  , performers.","Performance","Theater|Spoken word|Music","[BIO] From 1979-2009, the New WORLD Theater worked at the intersection of artistic practice, community engagement, scholarship, and activism toward a vision of a ‘new world’—one that broke the confines of multiculturalism and was an artistic harbinger of America’s shifting demographics. From a geographic ‘outpost’ in New England, New WORLD Theater evolved from a community organizing project and the Northeast point on a theater touring compass, to a protective studio to hone new work, a site of international intersections from South Africa to the South Bronx, and the home of inspired and rigorous collaborations with Western Massachusetts youth. New performance work development at New WORLD defied the conventional theater play lab as ghetto for artists of color; artists were met where they wanted to be in the imagining of new approaches, methods, and production. One of New WORLD Theater’s artistic legacies is Project 2050, a multi-year youth arts initiative built on the demographic projection that people of color would become the majority in the United States by 2050. The program brought together professional artists, youth communities from Massachusetts, scholars, and community activists to engage civic dialogue and create original performances based on themes that addressed young performers’ dreams and concerns. Performances were created from workshops that included playwriting, poetry, breakdancing, drumming, beatboxing, lyricism, singing, songwriting, stepping, and visual art. [SUMMARY] In ‘Time Capsule,’ youth performers explore social-political issues that directly affect their lives. Difference in opportunities based on class, spread violence, the AIDS pandemic, racism, amongst other social and political issues, are embodied on stage and transmitted as concrete realities. The performers intertwine these issues to their own lives through narrative, gesture and song, building little pieces of a social fabric – and addressing a society where they are looking for their own place. From this very personal point of view, they critically evaluate how the world is in the present, and what they expect, fear, and hope for the future","Performing arts and youth|Performing arts -- Social justice|Youth -- Political participation -- Performing arts","University of Massachusetts Amherst c/o Dennis F. Conway",,
"HI2013.009_02","Please, note the change in SUMMARY/ABSTRACT (520)","Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP; film brand description: Maxell P/l Plus T-120","original recording",,"00:04:55;00","New WORLD Theater Collection",,"Project 2050: Umoja",,2000,"University of Massachusetts, Amherst",,"Millicent Johnnie and Metta Dael , creators ; Yiannis Astor; David Ortiz; Hao Pham; Jessica Robles , collaborators ; Steven Sapp; Mildred Ruiz; Roberta Uno, collaborators.",,,"Keith Bailey; Tiffany Cambell; Cristina Delgado; Damaris Delgado, performers ; MJ Donoghue; Jamille Hazard; Aisha Jordan; Hao Pham, performers ; Andre McPherson; Nuk Thann; Mikiko Thelwell  , performers.","Performance","Theater|Spoken word|Dance-theater","[BIO] From 1979-2009, the New WORLD Theater worked at the intersection of artistic practice, community engagement, scholarship, and activism toward a vision of a ‘new world’—one that broke the confines of multiculturalism and was an artistic harbinger of America’s shifting demographics. From a geographic ‘outpost’ in New England, New WORLD Theater evolved from a community organizing project and the Northeast point on a theater touring compass, to a protective studio to hone new work, a site of international intersections from South Africa to the South Bronx, and the home of inspired and rigorous collaborations with Western Massachusetts youth. New performance work development at New WORLD defied the conventional theater play lab as ghetto for artists of color; artists were met where they wanted to be in the imagining of new approaches, methods, and production. One of New WORLD Theater’s artistic legacies is Project 2050, a multi-year youth arts initiative built on the demographic projection that people of color would become the majority in the United States by 2050. The program brought together professional artists, youth communities from Massachusetts, scholars, and community activists to engage civic dialogue and create original performances based on themes that addressed young performers’ dreams and concerns. Performances were created from workshops that included playwriting, poetry, breakdancing, drumming, beatboxing, lyricism, singing, songwriting, stepping, and visual art. [SUMMARY] In ‘Umoja,’ young members from Project 2050 perform monologues exploring social issues ranging from immigration to women’s liberation. The use of different languages bring together their roots and their future, placing them in-between tradition and futurity. Diverse stories travel from individualities to the history of entire communities: One young performer reflects on her experience as a Vietnamese immigrant pursuing the ‘American Dream.’ Another young performer discusses his inter-racial identity from a Colombian perspective.  Another young performer states her views about feminism from a ‘dark girl’s perspective.’ Among all these different struggles and dreams, there are points of contact and similarities that set the ground for a better future. Thus, the performance ends with the performers collectively dancing and chanting harmoniously in their diversity.","Performing arts and youth|Performing arts -- Social justice|Youth -- Political participation -- Performing arts","University of Massachusetts Amherst c/o Dennis F. Conway",,
"HI2013.009_03","Please, note the change in SUMMARY/ABSTRACT (520)","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: Maxell P/l Plus T-120","original recording",,"00:04:00;00","New WORLD Theater Collection",,"Project 2050: Ashy Ankles",,2000,"University of Massachusetts, Amherst",,"Jamie Trahan and Mikiko Thelwell , creator ; Yiannis Astor; Robert Bolden; Tiffany Campbell; Jamille Hazard; Cassie Madera; Elizabeth Pagan , collaborators ; Mikiko Thelwell; Mildred Ruiz; Roberta Uno, collaborators.","Jungles Moving Pictures , video production.",,"Cristina Delgado; Damaris Delgado;  Jamille Hazard; Aisha Jordan; Mikiko Thelwell , performers.","Performance","Theater|Spoken word","[BIO] From 1979-2009, the New WORLD Theater worked at the intersection of artistic practice, community engagement, scholarship, and activism toward a vision of a ‘new world’—one that broke the confines of multiculturalism and was an artistic harbinger of America’s shifting demographics. From a geographic ‘outpost’ in New England, New WORLD Theater evolved from a community organizing project and the Northeast point on a theater touring compass, to a protective studio to hone new work, a site of international intersections from South Africa to the South Bronx, and the home of inspired and rigorous collaborations with Western Massachusetts youth. New performance work development at New WORLD defied the conventional theater play lab as ghetto for artists of color; artists were met where they wanted to be in the imagining of new approaches, methods, and production. One of New WORLD Theater’s artistic legacies is Project 2050, a multi-year youth arts initiative built on the demographic projection that people of color would become the majority in the United States by 2050. The program brought together professional artists, youth communities from Massachusetts, scholars, and community activists to engage civic dialogue and create original performances based on themes that addressed young performers’ dreams and concerns. Performances were created from workshops that included playwriting, poetry, breakdancing, drumming, beatboxing, lyricism, singing, songwriting, stepping, and visual art. [SUMMARY] In ‘Ashy Ankles,’ Project 2050’s young performers explore oppressive statements around race and gender that they have experienced as young women of color. This oppression is clearly structural when discrimination comes from the ones who must take care of youth and must empower students: the teachers. Repeating the line ‘lies my teacher told me’ with vigorous sound and noise, the young performers on stage materialize the contradictions and isolation they confronted within an education system intended to replicate the same spiral of abuse and discrimination that pervades society. The young women weave chorus song and wording with quickstep movement, thus being empowered by their bodies and voices. They re-appropriate the oppressive statements and affirm their identities from their own viewpoints as women of color, and unveil their teachers’ oppressive gesture claiming that ‘they lied.’ The piece ends with the young women stating ‘they lied’ to point out the false truth of the oppressive statements projected onto them, and defying any pretended determination of their future, showing themselves as creative and strong human beings. By inviting the audience with the statement ‘look at me know,’ they demonstrate that social change is possible from and through each empowered individual.","Performing arts and youth|Performing arts -- Social justice|Youth -- Political participation -- Performing arts","University of Massachusetts Amherst c/o Dennis F. Conway",,
"HI2013.010_01","summary completed","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: RCA T-120H","original recording",,"01:36:15;00","New WORLD Theater Collection",,"Project 2050: Evening Show (2001)",,2001,"University of Massachusetts, Amherst",,"New WORLD Theater, producer.",,,,"Performance","Theater|Dance-theater|Music","[SUMMARY][SYNOPSIS] Project 2050 youth theatre artists presented a series of short works throughout the program. Composed like vignettes, these youth performers present pieces about race, class, immigration, identity politics, and social issues. The youth theatre artists use an array of movement, beatboxing, spoken word, and song, to convey their individual and collective narratives. Racism, prisons, and nationalism are other themes explored in their works. The group works in-between collective struggles and individual stories about themselves. They bring to the stage the same configurations, conflicts, alliances, and acts of solidarity that populate our world. This inspiring evening of short works ends with a hip-hop and breakdance jam session with all youth theatre artists present on stage.[BIO] From 1979-2009, the New WORLD Theater worked at the intersection ofartistic practice, community engagement, scholarship, and activism toward avision of a ‘new world’—one that broke the confines ofmulticulturalism and was an artistic harbinger of America’s shiftingdemographics. From a geographic ‘outpost’ in New England, New WORLDTheater evolved from a community organizing project and the Northeast pointon a theater touring compass, to a protective studio to hone new work, asite of international intersections from South Africa to the South Bronx,and the home of inspired and rigorous collaborations with WesternMassachusetts youth. New performance work development at New WORLD defiedthe conventional theater play lab as ghetto for artists of color; artistswere met where they wanted to be in the imagining of new approaches,methods, and production. One of New WORLD Theater’s artistic legacies isProject 2050, an early call to imagine the U.S. demographic shift, withpeople of the future — youth, in equal collaboration with artists andscholars.","Performing arts and youth|Performing arts -- Social justice|Youth -- Political participation -- Performing arts","University of Massachusetts Amherst",,
"HI2013.011_01","summary completed","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: Maxell P/l Plus T-120","original recording",,"00:26:23;00","New WORLD Theater Collection",,"Third World Theatre (1981)",,1981,,,"Roberta Uno , director ; New WORLD Theater, producer.","Miriam Carter; Yat. T. Man; Michael Thomas, narration ; Ed Cohen, still photography ; Mark Gunning, video production ; Paul Mortali; Maureen McNamara, production assistants .",,,"Documentary",,"[SUMMARY][SYNOPSIS] This historical documentation features testimonies on the work of the directors and actors of the Third World Theater Series, produced by New WORLD Theater. The Third World Theater Series began in the fall of 1979 as a project of the Student Activities Office of the University of Massachusetts/Amherst. By 1981 it was in its third year and had hosted twelve visiting companies and produced four original plays. In this video, community members discuss what it takes to put on a theatre festival and present political work from multi-racial perspectives and collaborations. They offer their visions of what making ‘new theater’ is, and how to work with people through theater for social and political change. In line with New WORLD Theater ideals, this series promoted a racially diverse theater, political in content, and accessible to lower classes. Performances featured in the series include Homelands, And the Soul Shall Dance, Simpson Street, and Prisims.[BIO] From 1979-2009, the New WORLD Theater worked at the intersection ofartistic practice, community engagement, scholarship, and activism toward avision of a ‘new world’—one that broke the confines ofmulticulturalism and was an artistic harbinger of America’s shiftingdemographics. From a geographic ‘outpost’ in New England, New WORLDTheater evolved from a community organizing project and the Northeast pointon a theater touring compass, to a protective studio to hone new work, asite of international intersections from South Africa to the South Bronx,and the home of inspired and rigorous collaborations with WesternMassachusetts youth. New performance work development at New WORLD defiedthe conventional theater play lab as ghetto for artists of color; artistswere met where they wanted to be in the imagining of new approaches,methods, and production. One of New WORLD Theater’s artistic legacies isProject 2050, an early call to imagine the U.S. demographic shift, withpeople of the future — youth, in equal collaboration with artists andscholars.","Performing arts and women|Performing arts -- Social justice|Women -- Political participation -- Performing arts","University of Massachusetts Amherst",,
"HI2013.012_01","Please, note change in SUMMARY/ABSTRACT (520)","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: RCA T-120H","original recording",,"0:21:21;00","New WORLD Theater Collection",,"Video Clips for Arts Presenters Conference",,2002,,,"New WORLD Theater, producer.",,,"Project 2050, performer ; Everett Dance Theater, performer ; Rennie Harris Puremovement, performer ; Universes, performer.","video clips",,"[SUMMARY] This is a collage of video clips that feature excerpts of performances by artists who collaborated with New WORLD Theater, thus showing the scope and diversity of the entire project. The clips feature pieces of performances by Project 2050, Everett Dance Theatre, Rennie Harris Puremovement, and UNIVERSES. Project 2050’s ‘Ashy Ankles’ explores oppressive statements around race and gender that the performers have experienced as young women of color. Everette Dance Theatre’s piece interweaves spoken dialogue and movement, thus underlining the meaningful roles of voice and body in performance. Rennie Harris Puremovement explores gender and race violence, and the struggles tied to identity politics. Finally, UNIVERSES performs a song that invites to reflect upon race and ethnicity as both a mark of identity and an impulse to create a better future. [BIO] From 1979-2009, the New WORLD Theater worked at the intersection of artistic practice, community engagement, scholarship, and activism toward a vision of a ‘new world’—one that broke the confines of multiculturalism and was an artistic harbinger of America’s shifting demographics. From a geographic ‘outpost’ in New England, New WORLD Theater evolved from a community organizing project and the Northeast point on a theater touring compass, to a protective studio to hone new work, a site of international intersections from South Africa to the South Bronx, and the home of inspired and rigorous collaborations with Western Massachusetts youth. New performance work development at New WORLD defied the conventional theater play lab as ghetto for artists of color; artists were met where they wanted to be in the imagining of new approaches, methods, and production. One of New WORLD Theater’s artistic legacies is Project 2050, a multi-year youth arts initiative built on the demographic projection that people of color would become the majority in the United States by 2050. The program brought together professional artists, youth communities from Massachusetts, scholars, and community activists to engage civic dialogue and create original performances based on themes that addressed young performers’ dreams and concerns. Performances were created from workshops that included playwriting, poetry, breakdancing, drumming, beatboxing, lyricism, singing, songwriting, stepping, and visual art.","Performing arts -- Social justice|Theater -- Political participation -- Performing arts","University of Massachusetts Amherst c/o Dennis F. Conway",,
"HI2013.013_01","Please, note the change in SUMMARY/ABSTRACT (520); also, there are two bios (separated paragraphs) for this item","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: 3M Master Broadcast Anti-Stat","original recording","00:20:00;00","00:51:31;00","New WORLD Theater Collection",,"Blood Speaks",,"1993 Oct. 16.","Hampden Theater, Amherst, Massachusetts","English and Spanish","Coatlicue Las Colorado, creator ; New WORLD Theater, producer.","Monique Fordham, videographer.",,"Coatlicue Las Colorado, performer.","Performance","Theater|Storytelling","[SUMMARY] Coatlicue Theater Company's ‘Blood Speaks’ deals with the pivotal role that religion played in the oppression and genocide of native people. In the course of the play the artists reclaim their voices and begin to rewrite history, in their own terms. This video documentation from 1993 features an early stage of Coatlicue’s theater career, where they were developing and strengthening their aesthetic and political proposal. The play opens with a ritual of the beginning of Earth, in dialogue with the characters’ Mayan/Aztec heritage. The stories and history of cultural struggles, from Spanish conquest and colonization to immigration and border politics, have the female body as a central site of violence. [BIO] Elvira and Hortencia Colorado, Chichimec Otomi storytellers, playwrights, performers and community activists are founding members of Coatlicue Theater Company (www.coatlicue.com). They are also members of Danza Mexica Cetiliztli, New York Zapatistas and the American Indian Community House. The company's plays address social, political, cultural, and identity issues that impact their lives and their community. Their work is based on stories they weave together, with which they educate as well as entertain the audience. They have conducted storytelling/ theater workshops, and are recipients of the Ingrid Washinawatok Community Activism Award. In 2013, Coatlicue Theater Company celebrated 25 years of performance, culture, and activism.[BIO] From 1979-2009, the New WORLD Theater worked at the intersection of artistic practice, community engagement, scholarship, and activism toward a vision of a ‘new world’—one that broke the confines of multiculturalism and was an artistic harbinger of America’s shifting demographics. From a geographic ‘outpost’ in New England, New WORLD Theater evolved from a community organizing project and the Northeast point on a theater touring compass, to a protective studio to hone new work, a site of international intersections from South Africa to the South Bronx, and the home of inspired and rigorous collaborations with Western Massachusetts youth. New performance work development at New WORLD defied the conventional theater play lab as ghetto for artists of color; artists were met where they wanted to be in the imagining of new approaches, methods, and production. One of New WORLD Theater’s artistic legacies is Project 2050, a multi-year youth arts initiative built on the demographic projection that people of color would become the majority in the United States by 2050. The program brought together professional artists, youth communities from Massachusetts, scholars, and community activists to engage civic dialogue and create original performances based on themes that addressed young performers’ dreams and concerns. Performances were created from workshops that included playwriting, poetry, breakdancing, drumming, beatboxing, lyricism, singing, songwriting, stepping, and visual art.","Indigenous women|Storytelling in performance|Folklore -- Performance|Native theater","University of Massachusetts Amherst c/o Dennis F. Conway",,
"HI2013.014_01","Please, note the change in SUMMARY/ABSTRACT (520)","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: Maxell P/l Plus T-120","original recording",,"00:14:35;00","New WORLD Theater Collection",,"New Works for a New World","Excerpts from 'The Bodies Between Us,' 'Chicomoztoc/Mimixcoa: Cloud Serpents,' and 'The Return of Elijah, The African'",1996,"University of Massachusetts, Amherst",,"lê thi diem thúy; Elvira Colorado and Hortensia Colorado/Coatlicue Las Colorado; Sekou Sundiata, creators ; Roberta Uno; Olivia Chumacero; Talvin Wilks, directors ; Roberta Uno and Edward Golden, producers.","Amy Montali, videographer.",,,"Performance",,"[SUMMARY] ‘New Works For a New World’ includes video excerpts of three plays featured by New WORLD Theater’s summer playlab program in 1996. ‘The Bodies Between Us,’ a solo performance by lê thi diem thúy, explores the politics of ‘mixed race’ and generational links through the female body. The piece is a reflection upon relationships with a tradition and racial and ethnic backgrounds as the legacy inherited from ancestors, and what would be given, in turn, to future generations born in the wake of diasporic and migration movements. ‘Chicomoztoc/Mimixcoa--Cloud Serpents,’ by Elvira Colorado and Hortencia Colorado, from Coatlicue Theater Company, is a work-in-progress that discusses the metaphorical relationship between railroad tracks and a family history marked by migration. ‘Las Colorado’ explain the piece as being ‘a journey through dreams, stories, time and memory, across mountains and deserts, retracing the footsteps of the ancestors, traveling back to Chicomoztoc (the place of our origin), searching, digging up and gathering stories that have been buried through centuries of shame and denial in our family, but which connect us to our past and identity. Some stories/secrets remain buried, and they are also part of who we are.’ ‘The Return of Elijah, The African,’ by Sekou Sundiata, interweaves spoken word with jazz singers and band. Music and poetry recount together the origins of slavery, as well as the evils of master-slave dynamics of oppression. ‘New Works For a New World’ constitutes a complex canvas that encompasses the power of diverse languages: the language of the body, the language in translation, the language of music, and the transformative sound of meaningful voices.   [BIO] From 1979-2009, the New WORLD Theater worked at the intersection of artistic practice, community engagement, scholarship, and activism toward a vision of a ‘new world’—one that broke the confines of multiculturalism and was an artistic harbinger of America’s shifting demographics. From a geographic ‘outpost’ in New England, New WORLD Theater evolved from a community organizing project and the Northeast point on a theater touring compass, to a protective studio to hone new work, a site of international intersections from South Africa to the South Bronx, and the home of inspired and rigorous collaborations with Western Massachusetts youth. New performance work development at New WORLD defied the conventional theater play lab as ghetto for artists of color; artists were met where they wanted to be in the imagining of new approaches, methods, and production.","Asian American art -- performing arts --political aspects|Indigenous women -- performing arts -- political aspects|African American art -- performing arts -- political aspects","University of Massachusetts Amherst c/o Dennis F. Conway",,
"HI2013.015_01","Please, note the change in TITLE (245); ALTERNATE TITLE(S) (246) is blank; also, please note the change in SUMMARY/ABSTRACT (520)This item has two bios (in different paragraphs)","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: Sony T-120","original recording","0:04:32;00","01:17:54;00","New WORLD Theater Collection",,"Yuyachkani's Antígona at the New WORLD Theater Intersection II Conference",,2000,"University of Massachusetts, Amherst","Spanish","Grupo Cultural Yuyachkani, creator ; Miguel Rubio, director ; New WORLD Theater, producer ; José Watanabe, writer.",,,"Teresa Ralli, performer.","Performance","Theater","[SUMMARY] From September 26-29, 2000 on the campus of the University of Massachusetts, New WORLD Theater convened a major national and international gathering, ‘Intersection II,’ a conference/performance festival focused on interdisciplinary and intercultural theater work. ‘Intersection II’ included international participation, while examining innovative theater practice within community, and national and global spheres. The event brought together artists, intellectuals, theater producers, arts presenters, and arts activists to explore the process, evolution, and dynamics of making theater in the dawning moments of the 21st century. One of the featured performances was ‘Antígona,’ directed by Miguel Rubio Zapata and masterfully performed by Teresa Ralli, founding member of Grupo Cultural Yuyachkani (Peru). This one-woman performance of José Watanabe’s version of Sophocles classic tragedy is a breathtaking example of the devastation caused by twenty years of civil violence in Peru. Although this is the story of only one character, it speaks for the nearly 70,000 disappeared men, women and children of Peru, and for the thousands of survivors who are still fighting for their right to mourn their loved ones.  [BIO] Peru’s most important theater collective, Grupo Cultural Yuyachkani has been working since 1971 at the forefront of theatrical experimentation, political performance, and collective creation. Yuyachkani is a Quechua word that means ‘I am thinking, I am remembering;’ under this name, the theater group has devoted itself to the collective exploration of embodied social memory, particularly in relation to questions of ethnicity, violence, and memory in Peru. Their work has been among the most important in Latin Americas so called New Popular Theatre, with a strong commitment to grass-roots community issues, mobilization, and advocacy. Yuyachkani won Peru’s National Human Rights Award in 2000. Known for its creative embrace of both indigenous performance forms as well as cosmopolitan theatrical forms, Yuyachkani offers insight into Peruvian and Latin American theater, and to broader issues of postcolonial social aesthetics.[BIO] From 1979-2009, the New WORLD Theater worked at the intersection of artistic practice, community engagement, scholarship, and activism toward a vision of a ‘new world’—one that broke the confines of multiculturalism and was an artistic harbinger of America’s shifting demographics. From a geographic ‘outpost’ in New England, New WORLD Theater evolved from a community organizing project and the Northeast point on a theater touring compass, to a protective studio to hone new work, a site of international intersections from South Africa to the South Bronx, and the home of inspired and rigorous collaborations with Western Massachusetts youth. New performance work development at New WORLD defied the conventional theater play lab as ghetto for artists of color; artists were met where they wanted to be in the imagining of new approaches, methods, and production. One of New WORLD Theater’s artistic legacies is Project 2050, a multi-year youth arts initiative built on the demographic projection that people of color would become the majority in the United States by 2050. The program brought together professional artists, youth communities from Massachusetts, scholars, and community activists to engage civic dialogue and create original performances based on themes that addressed young performers’ dreams and concerns. Performances were created from workshops that included playwriting, poetry, breakdancing, drumming, beatboxing, lyricism, singing, songwriting, stepping, and visual art.","Sophocles|Political atrocities -- Peru -- drama|Antigone (Greek mythology) -- Drama|Political theater","University of Massachusetts Amherst c/o Dennis F. Conway",,
