HI_number,Correction_note,Format,Source_Tape_Generation,Series_Title,Meeting_Information,Run_time,Title,Alternate_Titles,Production_Information,Main_Production_Credits,Participants,Summary,Language,Subjects,Worktypes,Location,Rights_Holder
HI2005.059_01,"Corrections made to fields 440, 711, 245, 246, 260, 506, 508, 511, 520, 653, 655, 845, and 'Rights Holder Information.'","Media source original:$e1 videocassette (S-VHS) : analog sd., col.; dimensions: 1/2 in.",,,,30 min.,"‘Native America’: Ulali & The SilverCloud Singers / $c American Indian Community House, producer ; Manhattan Neighborhood Network, producer ; The SilverCloud Singers, creator ; Ulali, creator.",Ulali & The SilverCloud Singers | Native America (cable network show),"$a American Indian Community House, New York City, New York, United States : $c 1996 Nov. 18.","Devorah  Hill, editor ; Lance Richmond, videographer.","Ulali, performers ; The SilverCloud Singers, performers.","For several years the American Indian Community House (AICH) produced a cable network show titled ‘Native America.’  Select performances in the Circle at AICH were videotaped, edited, and aired on the Manhattan Neighborhood Network in half hour segments. This episode contains performances by Ulali and the Silvercloud Singers. Ulali (www.ulali.com), formerly known as Pura Fe, is an a cappella women's trio featuring three Native women singers, Pura Fe (Tuscarora), Soni Moreno (Apache/Mayan) and Jennifer Kreisberg (Tuscarora). Ulali blends a variety of traditional and contemporary indigenous music of the Americas, incorporating political, social and personal issues that affect all of humanity. By fusing outside influences with Native words and music, Ulali challenges notions of how ‘traditional’ words and concepts are applicable in the modern world. The group can be heard on dozens of albums, documentaries and movies. The SilverCloud Singers (www.silvercloudsingers.com) are an intertribal Native American singing & dance troupe weaving the traditional with the contemporary of Native song & dance. SilverCloud was founded in 1991 and takes its name in tribute of Josephine Mofsie Tarrant, the mother of founding members Kevin Tarrant and Michael Tarrant, and current members Donald Tarrant and Judy Tarrant Fields. The singers of SilverCloud come from many tribes, and from many parts of the U.S and Canada. The group was started with the intention of using traditional methods of Native culture as a means to educate through song and dance. The American Indian Community House (AICH) is an urban Indian center that services the needs of the Native people living in New York City and welcomes Native visitors to the city.  AICH was founded in 1969 and has become a de facto ‘neighborhood’ serving as a meeting place for the diverse Native community of the New York City area.  The Community House offers a variety of services ranging from substance abuse and HIV counseling, to career assistance. It is also home to the only Indian owned and operated art gallery in New York City. The AICH’s Performing Arts Department has become an important resource for Native visual and performance artists. Through its programming, performance has become an important educational vehicle, both for the Native and non-Native NY community. The Badger's Corner, initiated in the 1980’s, is an education-via-entertainment vehicle for the AICH’s visual and performing arts department programs.  Taking its name from the Pueblo legend of the four-legged creature who led the Pueblo people out of the underworld after the great flood, the intent of its programming is to inform and challenge people to rethink their concept(s) of Native American people and customs. All performances at AICH are presented under the auspices of the Badger’s Corner.",English,American Indian Community House| Ulali / Pura Fe| The SilverCloud Singers| Native American performing arts| American Indian music,Performance| Native cable network show| American Indian music| Contemporary Native music| Traditional Native music| A cappella,,American Indian Community House
HI2005.060_01,"Corrections made to fields 440, 711, 245, 246, 260, 506, 511, 520, 653, 655, 845 and 'Rights Holder Information.'","Media source original:$e1 videocassette (VHS) : analog sd., col.; dimensions: 1/2 in.",,,,74 min.,"Sacha Huarmi / $c American Indian Community House, producer ; Quichua Del Oriente & Shuar Peoples of the Ecuador Amazon, creators.",The Quichua Del Oriente & Shuar Peoples of the Ecuador Amazon present: 'Sacha Huarmi',"$a American Indian Community House, New York City, New York, United States : $c 1998 Mar. 21.",,"Quichua Del Oriente & Shuar Peoples of the Ecuador Amazon, performers.","The Quichua Del Oriente & Shuar Peoples of the Ecuador Amazon present ‘Sacha Huarmi,’ a performance of traditional Indigenous music and dance. The American Indian Community House (AICH) is an urban Indian center that services the needs of the Native people living in New York City and welcomes Native visitors to the city.  AICH was founded in 1969 and has become a de facto ‘neighborhood’ serving as a meeting place for the diverse Native community of the New York City area.  The Community House offers a variety of services ranging from substance abuse and HIV counseling, to career assistance. It is also home to the only Indian owned and operated art gallery in New York City. The AICH’s Performing Arts Department has become an important resource for Native visual and performance artists. Through its programming, performance has become an important educational vehicle, both for the Native and non-Native NY community. The Badger's Corner, initiated in the 1980’s, is an education-via-entertainment vehicle for the AICH’s visual and performing arts department programs.  Taking its name from the Pueblo legend of the four-legged creature who led the Pueblo people out of the underworld after the great flood, the intent of its programming is to inform and challenge people to rethink their concept(s) of Native American people and customs. All performances at AICH are presented under the auspices of the Badger’s Corner.",English,American Indian Community House| Quichua Indians| Shuar Indians| Indigenous peoples Ecuador| Indigenous dance and music Ecuador,Performance| Native dance| Native music| Quichua music and dance| Shuar music and dance,,American Indian Community House
HI2005.061_01,"Corrections made to fields 440, 711, 245, 246, 260, 506, 511, 520, 653, 655, 845, and 'Rights Holder Information.'","Media source original:$e1 videocassette (VHS) : analog sd., col.; dimensions: 1/2 in.",,,,67 min.,"More Than Feathers and Beads / $c American Indian Community House, producer ; Murielle Borst, creator.",Murielle Borst: 'More Than Feathers and Beads',"$a American Indian Community House, New York City, New York, United States : $c 1996 Nov. 4.",,"Murielle Borst, performer.","‘More than Feather and Beads’ is Murielle Borst’s semi-autobiographical one-woman show which examines contemporary issues of identity for Native American women. Borst is a champion shawl dancer and wrote this theatrical comedy about her experiences competing in pow-wows across the country.  As the title implies she finds there's more than feathers and beads to the pow-wow ‘scene.’ Murielle Borst is the daughter of Muriel Miguel, the co-founder of Spiderwoman Theater, the longest running Native women's theater troupe in the country.  She has appeared as a guest artist in several Spiderwoman's productions and has also appeared in and collaborated on several works with the American Indian Youth Theater Project, which is a part of the American Indian Community House’s (AICH) American Indian Youth Council. The American Indian Community House (AICH) is an urban Indian center that services the needs of the Native people living in New York City and welcomes Native visitors to the city.  AICH was founded in 1969 and has become a de facto ‘neighborhood’ serving as a meeting place for the diverse Native community of the New York City area.  The Community House offers a variety of services ranging from substance abuse and HIV counseling, to career assistance. It is also home to the only Indian owned and operated art gallery in New York City. The AICH’s Performing Arts Department has become an important resource for Native visual and performance artists. Through its programming, performance has become an important educational vehicle, both for the Native and non-Native NY community. The Badger's Corner, initiated in the 1980’s, is an education-via-entertainment vehicle for the AICH’s visual and performing arts department programs.  Taking its name from the Pueblo legend of the four-legged creature who led the Pueblo people out of the underworld after the great flood, the intent of its programming is to inform and challenge people to rethink their concept(s) of Native American people and customs. All performances at AICH are presented under the auspices of the Badger’s Corner.",English,"American Indian Community House| Borst, Murielle| Native American women's theater| Identity politics| Pow wows",Performance| Theater| One-person show (Performing arts)| Native American theater| Native women's theater,,American Indian Community House
HI2005.062_01,"Corrections made to fields 534, 440, 711, 245, 246, 260, 506, 511, 520, 653, 655, 845, and 'Rights Holder Information.'","Media source original:$e1 videocassette (VHS) : analog sd., col.; dimensions: 1/2 in.",,,,96 min.,"Power Pipes / $c American Indian Community House, producer ; Spiderwoman Theater, creator ; Muriel Miguel, director.",Spiderwoman Theater: 'Power Pipes',"$a American Indian Community House, New York City, New York, United States : $c 1993 June 26.","Jim Cyrus, introducer.","Lisa Mayo, performer ; Gloria Miguel, performer ; Muriel Miguel, performer ; Hortensia Colorado, performer ; Elvira Colorado, performer ; Murielle Borst, performer.","Spiderwoman Theater’s ‘Power Pipes’ is a humorous, yet serious look at the instruments that are a part of the lives of the Kuna/Rappahannock Indians.  Pan-pipes represent life's breath and the drum represents the heartbeat.  This is one of several theater pieces in which Spiderwoman Theater critiqued the misuse of Native spirituality by both Native and non-Native people. The group believes that some traditions can and should change, and challenges tradition here by playing the drum despite the opposition of some Native people, who believe women -especially those of childbearing age- should not touch the sacred drum. Spiderwoman Theater is the longest continuous running Native female performance group.  Comprised of three Kuna/ Rappahannock sisters from Brooklyn, New York, Lisa Mayo, Gloria Miguel, and Muriel Miguel, the group has travel all over the world giving performance, lectures, and workshops.  Named after the weaver in the Hopi creation story the sisters ‘storyweave’ their message in a variety of formats including poetry, dance, theater, and song. The American Indian Community House (AICH) is an urban Indian center that services the needs of the Native people living in New York City and welcomes Native visitors to the city.  AICH was founded in 1969 and has become a de facto ‘neighborhood’ serving as a meeting place for the diverse Native community of the New York City area.  The Community House offers a variety of services ranging from substance abuse and HIV counseling, to career assistance. It is also home to the only Indian owned and operated art gallery in New York City. The AICH’s Performing Arts Department has become an important resource for Native visual and performance artists. Through its programming, performance has become an important educational vehicle, both for the Native and non-Native NY community. The Badger's Corner, initiated in the 1980’s, is an education-via-entertainment vehicle for the AICH’s visual and performing arts department programs.  Taking its name from the Pueblo legend of the four-legged creature who led the Pueblo people out of the underworld after the great flood, the intent of its programming is to inform and challenge people to rethink their concept(s) of Native American people and customs. All performances at AICH are presented under the auspices of the Badger’s Corner.",English,American Indian Community House| Spiderwoman Theater| Native theater| Identity politics| Native American spirituality. Beliefs and practices. Criticism.,Performance| Theater| Native theater| Urban Indian performance| Indigenous women's theater,,American Indian Community House
HI2005.063_01,"Corrections made to fields 534, 440, 711, 245, 260, 506, 511, 520, 653, 655, 845, and 'Rights Holder Information.'","Media source original:$e1 videocassette (VHS) , mono., col.; dimensions: 1/2 in.",,,,29 min.,"Native American Artists/Scholars: Speaking for Ourselves in the 21st Century / $c American Indian Community House, producer ; PresenciaTaina TV, producer ; Phoebe Farris, creator ; Nadema Agard, creator ; Norman Akers, creator.",,"$a American Indian Community House, New York City, New York, United States : $c 2003 Jan. 11.","R.J. Hernandez, videographer.","Phoebe Farris, speaker ; Norman Akers, speaker ; Nadema Agard, speaker.","‘Native American Artists/Scholars: Speaking for Ourselves in the 21st Century’ was a gallery exhibition curated by Phoebe Farris that featured artists Nadema Agard (Lakota/Cherokee/Powhatan), Norman Akers (Pawnee/Osage), George Longfish (Seneca), and Gail Trembley (Onondaga/Micmac). In this video Ms. Farris discusses the exhibition and artists Nadema Agard and Norman Akers discuss their work. The American Indian Community House Gallery is the only Indian owned and operated gallery in New York City.  The gallery features the work of American Indian Artists as well as Native artists from Mexico, Canada and Central and South America. The American Indian Community House (AICH) is an urban Indian center that services the needs of the Native people living in New York City and welcomes Native visitors to the city.  AICH was founded in 1969 and has become a de facto ‘neighborhood’ serving as a meeting place for the diverse Native community of the New York City area.  The Community House offers a variety of services ranging from substance abuse and HIV counseling, to career assistance. It is also home to the only Indian owned and operated art gallery in New York City. The AICH’s Performing Arts Department has become an important resource for Native visual and performance artists. Through its programming, performance has become an important educational vehicle, both for the Native and non-Native NY community. The Badger's Corner, initiated in the 1980’s, is an education-via-entertainment vehicle for the AICH’s visual and performing arts department programs.  Taking its name from the Pueblo legend of the four-legged creature who led the Pueblo people out of the underworld after the great flood, the intent of its programming is to inform and challenge people to rethink their concept(s) of Native American people and customs. All performances at AICH are presented under the auspices of the Badger’s Corner.",English,"American Indian Community House| Farris, Phoebe | Agard, Nadema| Akers, Norman| Contemporary Native American artists",,,American Indian Community House
HI2005.064_01,"Corrections made to fields 534, 440, 245, 260, 500, 506, 520, 653, 655, 540 and ""Rights Holder Information"".","Media source original:$e2 videocassette (VHS) , col.; dimensions: 1/2 in.; film brand description: JVC T-120",,,,11 min.,"The Temple of Confessions / $c Guillermo Gómez-Peña, director ; Guillermo Gómez-Peña, producer ; La Pocha Nostra, producer ; Rhode Island College Art Center, producer.",,"$a Rhode Island College, Rhode Island, United States : $c 1996.","Steven Davis, editor.","Guillermo Gómez-Peña, performer ; Roberto Sifuentes, performer ; Norma Medina, performer ; Michelle Ceballos, performer.","This itinerant performance/installation present two 'end-of-the-centurysaints' from an 'unknown border religion', in search of sanctuary acrossthe United States while gathering confessions on intercultural fears anddesires.  Designed as a theater of mythos and cultural pathologies, the'Temple' proposes a ceremonial space for the reflection on ethnic, racial,and gender prejudices.  It is divided in three main areas: the 'Chapel ofDesires', displaying 'El Pre-Columbian Vato' or 'holy gang member'(performed by Roberto Sifuentes); the 'Chapel of Fears', displaying 'SanPocho Aztlaneca' (a 'hyper-exoticied curio shop shaman for spiritualtourists' performed by Guillermo Gómez-Peña); and an enigmatic funeraryvignette composed by performance objects.  Paintings of other 'hybridsantos' hang from the walls, two 'nuns' ('chola/nun' Norma Medina and'dominatrix nun' Michelle Ceballos) take care of the temple, and visitorscan leave their 'confessions'; the most revealing ones are incorporatedinto the installation soundtrack for future performances. La Pocha Nostra (www.pochanostra.com) is an ever-morphing trans-disciplinary arts organization, founded in 1993 by Guillermo Gómez-Peña, Roberto Sifuentes, and Nola Mariano in California. The objective was to formally conceptualize Gómez-Peña's collaborations with other performance artists.  It provides a base (and forum) for a loose network of rebel artists from various disciplines, generations and ethnic backgrounds, whose common denominator is the desire to cross and erase dangerous borders between art and politics, practice and theory, artist and spectator.  As of June 2006, members include performance artists Guillermo Gómez-Peña, Violeta Luna, Michelle Ceballos, and Roberto Sifuentes; curators Gabriela Salgado and Orlando Britto; and over thirty associates worldwide in countries such as Mexico, Spain, the UK, and Australia. Projects range from performance solos and duets to large-scale performance installations including video, photography, audio, and cyber-art. La Pocha collaborates across national borders, race, gender and generations. Their collaborative model functions both as an act of citizen diplomacy and as a means to create ‘ephemeral communities’ of like-minded rebels. The basic premise of these collaborations is founded on an ideal: If we learn to cross borders on stage, we may learn how to do so in larger social spheres. La Pocha strives to eradicate myths of purity and dissolve borders surrounding culture, ethnicity, gender, language, and métier.  These are radical acts.","English, Spanish, Spanglish","Gómez-Peña, Guillermo| Pocha Nostra| Performance art| Border art| Reverse anthropology",Performance| Performance art| Performance/Installation| Border art,,Guillermo Gómez-Peña
HI2005.065_01,"Corrections made to fields ""Supplemental or Correction description"", 534, 440, ""Run time for episode"", 245, 246, 260, 500, 506, 520, 653, 655 and ""Rights Holder Information"".","Media source original:$e2 videocassette (VHS) , col.; dimensions: 1/2 in.; film brand description: HG-PRO T-120",,,,,"'The Temple of Confessions': Pre-Performance Street Intervention, Detroit / $c Guillermo Gómez-Peña, director ; Detroit Institute of Fine Arts, video courtesy of ; Guillermo Gómez-Peña, producer ; La Pocha Nostra, producer ; Detroit Institute of Fine Arts, producer.",,"$a Streets of Detroit, Michigan, United Sttes : $c 1996.",,"Guillermo Gómez-Peña, performer ; Roberto Sifuentes, performer ; Norma Medina, performer ; Michelle Ceballos, performer.","As a pre-performance strategy for advertising their upcoming 'The Temple ofConfessions' performance/installation, La Pocha Nostra conducts a series ofinterventions in Detroit's public sphere. Two 'end-of-the-century saints',in search of sanctuary across the United States while gathering confessionson intercultural fears and desires, take on key politically relevant orvisually interesting public sites. 'El Pre-Columbian Vato' or 'holy gangmember' (performed by Roberto Sifuentes) and 'San Pocho Aztlaneca' (a'hyper-exoticied curio shop shaman for spiritual tourists' performed byGuillermo Gómez-Peña) are walked in leashes by 'corporate dominatrix'Michelle Ceballos and tended by 'chola/nun' Norma Medina; in this fashion,they visit an array of public places, from a financial/downtown districtfancy café, to the US-Canada border, always followed by an entourage ofphotographers and videographers from the local media that document their'pilgrimage'. Through these performative irruptions in everyday life, La Pocha Nostracreates the means for provoking in the ""Temple"" prospective audience an aura ofexpectation, a bearing witness of a mythology of intercultural fears anddesires; this, in turn, would broaden the diversity of the audience, andcreate a propitious environment for their upcoming 'confessions'. La Pocha Nostra (www.pochanostra.com) is an ever-morphing trans-disciplinary arts organization, founded in 1993 by Guillermo Gómez-Peña, Roberto Sifuentes, and Nola Mariano in California. The objective was to formally conceptualize Gómez-Peña's collaborations with other performance artists.  It provides a base (and forum) for a loose network of rebel artists from various disciplines, generations and ethnic backgrounds, whose common denominator is the desire to cross and erase dangerous borders between art and politics, practice and theory, artist and spectator.  As of June 2006, members include performance artists Guillermo Gómez-Peña, Violeta Luna, Michelle Ceballos, and Roberto Sifuentes; curators Gabriela Salgado and Orlando Britto; and over thirty associates worldwide in countries such as Mexico, Spain, the UK, and Australia. Projects range from performance solos and duets to large-scale performance installations including video, photography, audio, and cyber-art. La Pocha collaborates across national borders, race, gender and generations. Their collaborative model functions both as an act of citizen diplomacy and as a means to create ‘ephemeral communities’ of like-minded rebels. The basic premise of these collaborations is founded on an ideal: If we learn to cross borders on stage, we may learn how to do so in larger social spheres. La Pocha strives to eradicate myths of purity and dissolve borders surrounding culture, ethnicity, gender, language, and métier.  These are radical acts.","English, Spanish, Spanglish","Gómez-Peña, Guillermo| Pocha Nostra| Performance art| Border art| Street performance",Performance| Performance art| Border art,,Guillermo Gómez-Peña
HI2005.066_01,"Corrections made to fields ""Supplemental or Correction description"", 534, 440, 245, 260, 500, 506, 520, 653, 655, 540 and ""Rights Holder Information"".","Media source original:$e2 videocassette (VHS) , col.; dimensions: 1/2 in.; film brand description: T-120",,,,47 min.,"Museo de la Identidad Fetich-Izada / $c Guillermo Gómez-Peña, producer ; La Pocha Nostra, producer ; Museo del Chopo, producer; Guillermo Gómez-Peña, director.",Museum of Fetishized Identity,"$a Museo del Chopo, Mexico City, Mexico : $c 2003 May 21.",,"Guillermo Gómez-Peña, performer ; Violeta Luna, performer ; Juan Ybarra, performer ; Michelle Ceballos, performer.","Unedited documentation of a Pocha Nostra interactive performance in theMuseo del Chopo, Mexico City.  After an intensive workshop with 1","English, Spanish, Spanglish","Gómez-Peña, Guillermo| Pocha Nostra| Performance art| Border art| Reverse anthropology",Performance| Performance art| Border art| Multimedia interactive living museum,,Guillermo Gómez-Peña
HI2005.067_01,"Corrections made to fields 534, 440, 245, 260, 500, 511, 506, 520, 653, 655 and ""Rights Holder Information"".","Media source original:$e2 videocassette (VHS) , col.; dimensions: 1/2 in.; film brand description: T-120",,,,85 min.,"Museo de la Identidad Fetich-izada: Pocha Nostra Workshop / $c Guillermo Gómez-Peña, director ; Guillermo Gómez-Peña, producer ; La Pocha Nostra, producer ; Museo del Chopo, producer.","Pocha Nostra Workshop at the Museo del Chopo, Mexico City","$a Museo del Chopo, Mexico City, Mexico : $c 2003 May.",,"Guillermo Gómez-Peña, pedagogue ; Juan Ybarra, pedagogue.",Unedited documentation of La Pocha Nostra's one-week intensive workshopwith 1,"English, Spanish, Spanglish","Gómez-Peña, Guillermo| Pocha Nostra| Performance art| Border art| Performance pedagogy",Performance/Workshop| Performance art| Performance workshop| Border art,,Guillermo Gómez-Peña
HI2005.068_01,"Corrections made to fields 534, 440, 245, 260, 500, 506, 511, 520, 653, 655 and ""Rights Holder Information"".","Media source original:$e1 videocassette (VHS) , col.; dimensions: 1/2 in.; film brand description: Quantegy Professional T-60",,,,51 min.,"The Mexterminator / $c Guillermo Gómez-Peña, director ; Guillermo Gómez-Peña, producer ; La Pocha Nostra, producer.",The Mexterminator (San Francisco),"$a Somar, San Francisco, California, United States : $c 1998.","Gustavo Vázquez, videographer.","Guillermo Gómez-Peña, performer ; Roberto Sifuentes, performer ; Violeta Luna, performer ; Sara Shelton-Mann, performer ; Yoshigiro Masegiro, performer ; James Luna, performer.","A 'political peepshow' of sorts, this interactive performance/installationfunctions as a living museum of techno-dioramas displaying a series ofliving 'multicultural Frankensteins' or 'ethno-cyborgs'.  The characters,created by La Pocha Nostra, are based on thousands of anonymous on-lineresponses by net users (www.mexterminator.com), re-interpreting theirproposals for 'hybrid specimens' meant to embody Americans' expressedintercultural fears and desires toward Latinos, immigrants and people ofcolor. The resulting dioramas involve physical interaction with theaudience, encouraging visitors to engage in the reflection of their ownpsychological and cultural monsters. La Pocha Nostra (www.pochanostra.com) is an ever-morphing trans-disciplinary arts organization, founded in 1993 by Guillermo Gómez-Peña, Roberto Sifuentes, and Nola Mariano in California. The objective was to formally conceptualize Gómez-Peña's collaborations with other performance artists.  It provides a base (and forum) for a loose network of rebel artists from various disciplines, generations and ethnic backgrounds, whose common denominator is the desire to cross and erase dangerous borders between art and politics, practice and theory, artist and spectator.  As of June 2006, members include performance artists Guillermo Gómez-Peña, Violeta Luna, Michelle Ceballos, and Roberto Sifuentes; curators Gabriela Salgado and Orlando Britto; and over thirty associates worldwide in countries such as Mexico, Spain, the UK, and Australia. Projects range from performance solos and duets to large-scale performance installations including video, photography, audio, and cyber-art. La Pocha collaborates across national borders, race, gender and generations. Their collaborative model functions both as an act of citizen diplomacy and as a means to create ‘ephemeral communities’ of like-minded rebels. The basic premise of these collaborations is founded on an ideal: If we learn to cross borders on stage, we may learn how to do so in larger social spheres. La Pocha strives to eradicate myths of purity and dissolve borders surrounding culture, ethnicity, gender, language, and métier.  These are radical acts.","English, Spanish, Spanglish","Gómez-Peña, Guillermo| Pocha Nostra| Performance art| Border art| Reverse anthropology",Performance| Performance art| Border art| Reverse anthropology| Multimedia interactive living museum,,Guillermo Gómez-Peña
HI2005.069_01,"Corrections made to fields ""Supplemental or Correction description"", 534, 440, 245, 260, 500, 506, 520, 653, 655 and ""Rights Holder Information"".","Media source original:$e1 videocassette (VHS) , col.; dimensions: 1/2 in.; film brand description: Maxell",,,,,"Mexican Cowboys and Indian Lowriders / $c Guillermo Gómez-Peña, director ; Guillermo Gómez-Peña, producer ; La Pocha Nostra, producer ; Holter Museum, producer ; Arnie Molina, producer.","Mexican Cowboys and Indian Lowriders, Montana","$a Holter Museum, Helena, Montana, United States : $c 1996 May.",,"Guillermo Gómez-Peña, performer ; Roberto Sifuentes, performer ; Tyler Medicine Horse, performer ; Susan Stewart, performer ; Bentley Spank, performer.","An experiment in 'reverse anthropology', this performance/installationcreates an inverted world where Chicanos and Native Americans occupy afictional cultural center and the 'Anglos' are nomadic minorities andtribal peoples with exotic costums and costumes.  The resulting diorama isan experimental Indian trading post and curio shop of sorts, incorporatingfictitious museum labels, racist pop archeology (Indianabilia, Mexicabilia,'Western' souvenirs), 'authentic' Cowboy an Indian art, and the display ofthe troupe of collaborating performers as 'stuffed humans' or 'culturalspecimens'. La Pocha Nostra (www.pochanostra.com) is an ever-morphing trans-disciplinary arts organization, founded in 1993 by Guillermo Gómez-Peña, Roberto Sifuentes, and Nola Mariano in California. The objective was to formally conceptualize Gómez-Peña's collaborations with other performance artists.  It provides a base (and forum) for a loose network of rebel artists from various disciplines, generations and ethnic backgrounds, whose common denominator is the desire to cross and erase dangerous borders between art and politics, practice and theory, artist and spectator.  As of June 2006, members include performance artists Guillermo Gómez-Peña, Violeta Luna, Michelle Ceballos, and Roberto Sifuentes; curators Gabriela Salgado and Orlando Britto; and over thirty associates worldwide in countries such as Mexico, Spain, the UK, and Australia. Projects range from performance solos and duets to large-scale performance installations including video, photography, audio, and cyber-art. La Pocha collaborates across national borders, race, gender and generations. Their collaborative model functions both as an act of citizen diplomacy and as a means to create ‘ephemeral communities’ of like-minded rebels. The basic premise of these collaborations is founded on an ideal: If we learn to cross borders on stage, we may learn how to do so in larger social spheres. La Pocha strives to eradicate myths of purity and dissolve borders surrounding culture, ethnicity, gender, language, and métier.  These are radical acts.","English, Spanish, Spanglish","Gómez-Peña, Guillermo| Pocha Nostra| Performance art| Border art| Reverse anthropology",Performance| Performance art| Multimedia interactive living museum| Border art,,Guillermo Gómez-Peña
HI2005.070_01,"Corrections made to fields ""Supplemental or Corrections description"", 534, 440, 245, 260, 500, 506, 511, 520, 653, 655 and ""Rights Holder Information"".","Media source original:$e1 videocassette (VHS) , col.; dimensions: 1/2 in.",,,,39 min.,"Urban Revisions / $c Guillermo Gómez-Peña, director ; Guillermo Gómez-Peña, producer ; La Pocha Nostra, producer ; MOCA, producer; part of Adobe L.A. Interventions, producer.",Urban Revisions (MOCA),"$a Museum of Contemporary Art (MOCA), Los Angeles, California, United States : $c 1994 May 15.","Alexandra Moctezuma, videographer.","Guillermo Gómez-Peña, performer ; Roberto Sifuentes, performer ; Rubén Martínez, performer.","Ritual spoken word performance by Guillermo Gómez-Peña and RobertoSifuentes with Chicano journalist, author and musician Rubén Martínez, as apart of Adobe L.A. Interventions.  An enigmatic living diorama of a 'Vatocultural specimen' is flanked by a border-crossing 'spoken word' tour deforce, a staccato back-and-forth of poetry, word-play, politicalcommentary, autobiographical material, and performative provocation.  Thisintervention was performed in the context of the project 'Urban Revisions:Current Projects in the Public Realm', curated by the Museum ofContemporary Art in Los Angeles, California, and later edited by ElizabethA. T. Smith. La Pocha Nostra (www.pochanostra.com) is an ever-morphing trans-disciplinary arts organization, founded in 1993 by Guillermo Gómez-Peña, Roberto Sifuentes, and Nola Mariano in California. The objective was to formally conceptualize Gómez-Peña's collaborations with other performance artists.  It provides a base (and forum) for a loose network of rebel artists from various disciplines, generations and ethnic backgrounds, whose common denominator is the desire to cross and erase dangerous borders between art and politics, practice and theory, artist and spectator.  As of June 2006, members include performance artists Guillermo Gómez-Peña, Violeta Luna, Michelle Ceballos, and Roberto Sifuentes; curators Gabriela Salgado and Orlando Britto; and over thirty associates worldwide in countries such as Mexico, Spain, the UK, and Australia. Projects range from performance solos and duets to large-scale performance installations including video, photography, audio, and cyber-art. La Pocha collaborates across national borders, race, gender and generations. Their collaborative model functions both as an act of citizen diplomacy and as a means to create ‘ephemeral communities’ of like-minded rebels. The basic premise of these collaborations is founded on an ideal: If we learn to cross borders on stage, we may learn how to do so in larger social spheres. La Pocha strives to eradicate myths of purity and dissolve borders surrounding culture, ethnicity, gender, language, and métier.  These are radical acts.","English, Spanish, Spanglish","Gómez-Peña, Guillermo| Pocha Nostra| Martínez, Rubén| Performance art| Border art",Performance| Performance art| Ritual performance| Spoken word performance| Border art,,Guillermo Gómez-Peña
HI2005.071_01,"Corrections made to fields 534, 440, 245, 260, 500, 506, 511, 520, 653, 655, 540 and ""Rights Holder Information"".","Media source original:$e1 videocassette (VHS) , col.; dimensions: 1/2 in.; film brand description: Maxell T-120",,,,37 min.,"Naftaztec TV / $c Guillermo Gómez-Peña, director ; IEAR Studios, producer ; Adrienne Jenik, producer ; Guillermo Gómez-Peña, producer ; La Pocha Nostra, producer ; Guillermo Gómez-Peña, creator.",Outtakes of Naftaztec TV,"$a Troy, New York, United States : $c 1994.",,"Guillermo Gómez-Peña, performer.","Outtakes of the actual live satellite transmission of Gómez-Peña's pirateTV broadcast 'El Naftazteca: Cyber-Aztec TV for 2000 AD'.  This livesatellite transmission, interrupting the nightly news in an act ofguerrilla television, presented the artist as a post-NAFTA Cyber-Aztecpirate who commandeered a commercial TV signal from his underground 'Vatobunker', where virtual reality meets border art in a collage of footageranging from home movies, excerpts of earlier Gómez-Peña performances,Mexican 'B' movies, etc. Radical politics, autobiographical material,'reverse anthropology' and parodic traces of traditional media broadcastscomprise the content of this legendary video art piece; its finishedproduct was later distributed by Video Data Bank. La Pocha Nostra (www.pochanostra.com) is an ever-morphing trans-disciplinary arts organization, founded in 1993 by Guillermo Gómez-Peña, Roberto Sifuentes, and Nola Mariano in California. The objective was to formally conceptualize Gómez-Peña's collaborations with other performance artists.  It provides a base (and forum) for a loose network of rebel artists from various disciplines, generations and ethnic backgrounds, whose common denominator is the desire to cross and erase dangerous borders between art and politics, practice and theory, artist and spectator.  As of June 2006, members include performance artists Guillermo Gómez-Peña, Violeta Luna, Michelle Ceballos, and Roberto Sifuentes; curators Gabriela Salgado and Orlando Britto; and over thirty associates worldwide in countries such as Mexico, Spain, the UK, and Australia. Projects range from performance solos and duets to large-scale performance installations including video, photography, audio, and cyber-art. La Pocha collaborates across national borders, race, gender and generations. Their collaborative model functions both as an act of citizen diplomacy and as a means to create ‘ephemeral communities’ of like-minded rebels. The basic premise of these collaborations is founded on an ideal: If we learn to cross borders on stage, we may learn how to do so in larger social spheres. La Pocha strives to eradicate myths of purity and dissolve borders surrounding culture, ethnicity, gender, language, and métier.  These are radical acts.","English, Spanish, Spanglish","Gómez-Peña, Guillermo| Pocha Nostra| Performance art| Border art| Pirate TV",Performance| Video art| Performance art| Pirate TV intervention| Border art,,Guillermo Gómez-Peña
