"Subject","Subject-with-subfields","MARC field","Subject source","Metadata"
" Campuzano, Giuseppe, | 1969- | Interviews.","$aCampuzano, Giuseppe,$d1969-$vInterviews.",600,"Library of Congress Subject Headings",
" Cánepa Koch, Gisela, | 1964- | Interviews.","$aCánepa Koch, Gisela,$d1964-$vInterviews.",600,"Library of Congress Subject Headings",
" Cañuqueo, Lorena | Interviews.","$aCañuqueo, Lorena$vInterviews.",600,"Library of Congress Subject Headings",
" Case, Sue-Ellen | Interviews.","$aCase, Sue-Ellen$vInterviews.",600,"Library of Congress Subject Headings",
" Cassils, Heather.","$aCassils, Heather.",600,"Library of Congress Subject Headings",
" Castillo, Juan.","$aCastillo, Juan.",600,"Library of Congress Subject Headings",
" Cenci, Beatrice, | 1577-1599 | Drama.","$aCenci, Beatrice,$d1577-1599$vDrama.",600,"Library of Congress Subject Headings",
" Cenci, Francesco, | 1549-1598 | Drama.","$aCenci, Francesco,$d1549-1598$vDrama.",600,"Library of Congress Subject Headings",
" Cervantes Saavedra, Miguel de, | 1547-1616. | Don Quixote | Adaptations.","$aCervantes Saavedra, Miguel de,$d1547-1616.$tDon Quixote$vAdaptations.",600,"Library of Congress Subject Headings",
" Chang, Patty, | 1972-","$aChang, Patty,$d1972-",600,"Library of Congress Subject Headings",
" Chapin, Leland | Interviews.","$aChapin, Leland$vInterviews.",600,"Library of Congress Subject Headings",
" Charlette, Kennetch | Interviews.","$aCharlette, Kennetch$vInterviews.",600,"Library of Congress Subject Headings",
" Chavez, Cesar, | 1927-1993 | Drama.","$aChavez, Cesar,$d1927-1993$vDrama.",600,"Library of Congress Subject Headings",
" Chekhov, Anton Pavlovich, | 1860-1904. | Tri sestry | Adaptations.","$aChekhov, Anton Pavlovich,$d1860-1904.$tTri sestry$vAdaptations.",600,"Library of Congress Subject Headings",
" Clements, Marie Humber, | 1962- | Interviews.","$aClements, Marie Humber,$d1962-$vInterviews.",600,"Library of Congress Subject Headings",
" Cofer, Judith Ortiz, | 1952- | Silent dancing.","$aCofer, Judith Ortiz,$d1952-$tSilent dancing.",600,"Library of Congress Subject Headings",
" Colange, Eusebio. | Obra póstuma | Adaptations.","$aColange, Eusebio.$tObra póstuma$vAdaptations.",600,"Library of Congress Subject Headings",
" Cole, Catherine M. | Interviews.","$aCole, Catherine M.$vInterviews.",600,"Library of Congress Subject Headings",
" Colon, Jesus | Adaptations.","$aColon, Jesus$vAdaptations.",600,"Library of Congress Subject Headings",
" Colonia, Sarita, | 1914-1940. | Cult Peru.","$aColonia, Sarita,$d1914-1940.$tCult Peru.",600,"Library of Congress Subject Headings",
" Contreras Castro, Anabelle | Interviews.","$aContreras Castro, Anabelle$vInterviews.",600,"Library of Congress Subject Headings",
" Cooday, Jesse | Interviews.","$aCooday, Jesse$vInterviews.",600,"Library of Congress Subject Headings",
" Cook, Susana | Interviews.","$aCook, Susana$vInterviews.",600,"Library of Congress Subject Headings",
" Correa, Ana | Interviews.","$aCorrea, Ana$vInterviews.",600,"Library of Congress Subject Headings",
" Correa, Débora | Interviews.","$aCorrea, Débora$vInterviews.",600,"Library of Congress Subject Headings",
" Cortés, Hernán, | 1485-1547.","$aCortés, Hernán,$d1485-1547.",600,"Library of Congress Subject Headings",
" Cramer, Peter Francis.","$aCramer, Peter Francis.",600,"Library of Congress Subject Headings",
" Cruz Cruz, Petrona de la, | 1965- | Interviews.","$aCruz Cruz, Petrona de la,$d1965-$vInterviews.",600,"Library of Congress Subject Headings",
" Cruz, Teddy | Interviews.","$aCruz, Teddy$vInterviews.",600,"Library of Congress Subject Headings",
" Cunha, Euclides da, | 1866-1909. | Sertões | Adaptations.","$aCunha, Euclides da,$d1866-1909.$tSertões$vAdaptations.",600,"Library of Congress Subject Headings",
" Curmano, Billy, | creator, | performer.","$aCurmano, Billy,$ecreator,$eperformer.",600,"Library of Congress Subject Headings",
" Davis, Gray, | 1942-","$aDavis, Gray,$d1942-",600,"Library of Congress Subject Headings",
" Davis, Tracy C., | 1960- | Interviews.","$aDavis, Tracy C.,$d1960-$vInterviews.",600,"Library of Congress Subject Headings",
" Dennis, Darrell | (Darrell Michael) | Interviews.","$aDennis, Darrell$q(Darrell Michael)$vInterviews.",600,"Library of Congress Subject Headings",
" Diéguez, Ileana | Interviews.","$aDiéguez, Ileana$vInterviews.",600,"Library of Congress Subject Headings",
" Dionysus | (Greek deity) | Drama.","$aDionysus$c(Greek deity)$vDrama.",600,"Library of Congress Subject Headings",
" Dorfman, Ariel. | Viudas | Adaptations.","$aDorfman, Ariel.$tViudas$vAdaptations.",600,"Library of Congress Subject Headings",
" Doroshow, Jack.","$aDoroshow, Jack.",600,"Library of Congress Subject Headings",
" Dragún, Osvaldo, | 1929-","$aDragún, Osvaldo,$d1929-",600,"Library of Congress Subject Headings",
" Drucker, Zackery.","$aDrucker, Zackery.",600,"Library of Congress Subject Headings",
" Dumont, Dawn.","$aDumont, Dawn.",600,"Library of Congress Subject Headings",
" Durkee, Savitri | Interviews.","$aDurkee, Savitri$vInterviews.",600,"Library of Congress Subject Headings",
" Elm, Steve | Interviews.","$aElm, Steve$vInterviews.",600,"Library of Congress Subject Headings",
" Eltit, Diamela, | 1949-","$aEltit, Diamela,$d1949-",600,"Library of Congress Subject Headings",
" Eltit, Diamela, | 1949- | Interviews.","$aEltit, Diamela,$d1949-$vInterviews.",600,"Library of Congress Subject Headings",
" Euripides. | Bacchae.","$aEuripides.$tBacchae.",600,"Library of Congress Subject Headings",
" Euripides. | Bacchae | Adaptations.","$aEuripides.$tBacchae$vAdaptations.",600,"Library of Congress Subject Headings",
" Eurydice | (Greek mythological character)","$aEurydice$c(Greek mythological character)",600,"Library of Congress Subject Headings",
" Eyre, Chris, | 1969- | Interviews.","$aEyre, Chris,$d1969-$vInterviews.",600,"Library of Congress Subject Headings",
" Falabella, Soledad | Interviews.","$aFalabella, Soledad$vInterviews.",600,"Library of Congress Subject Headings",
" Faust, | d. ca. 1540 | Legends.","$aFaust,$dd. ca. 1540$vLegends.",600,"Library of Congress Subject Headings",
" Felipe, Carlos. | Requiem por Yarini.","$aFelipe, Carlos.$tRequiem por Yarini.",600,"Library of Congress Subject Headings",
" Felipe, Liliana | Interviews.","$aFelipe, Liliana$vInterviews.",600,"Library of Congress Subject Headings",
" Fernández, Helios | Interviews.","$aFernández, Helios$vInterviews.",600,"Library of Congress Subject Headings",
" Flanagan, Bob, | 1952-1996 | Interviews.","$aFlanagan, Bob,$d1952-1996$vInterviews.",600,"Library of Congress Subject Headings",
" Flores Castillo, Eduardo. | Interviews.","$aFlores Castillo, Eduardo.$vInterviews.",600,"Library of Congress Subject Headings",
" Fox Quesada, Vicente | Drama.","$aFox Quesada, Vicente$vDrama.",600,"Library of Congress Subject Headings",
" Fraga, Antônio. | Desabrigo | Stage adaptations.","$aFraga, Antônio.$tDesabrigo$xStage adaptations.",600,"Library of Congress Subject Headings",
" Francés, Charo | Interviews.","$aFrancés, Charo$vInterviews.",600,"Library of Congress Subject Headings",
" Fujimori, Alberto.","$aFujimori, Alberto.",600,"Library of Congress Subject Headings",
" Fusco, Coco | Interviews.","$aFusco, Coco$vInterviews.",600,"Library of Congress Subject Headings",
" Gabilondo, Francisco.","$aGabilondo, Francisco.",600,"Library of Congress Subject Headings",
" Galindo, María | Interviews.","$aGalindo, María$vInterviews.",600,"Library of Congress Subject Headings",
" Galindo, Regina José, | 1974-","$aGalindo, Regina José,$d1974-",600,"Library of Congress Subject Headings",
" Galindo, Regina José, | 1974- | Interviews.","$aGalindo, Regina José,$d1974-$vInterviews.",600,"Library of Congress Subject Headings",
" Galindo, Regina José, | 1974- | Political activity.","$aGalindo, Regina José,$d1974-$xPolitical activity.",600,"Library of Congress Subject Headings",
" Gansworth, Eric L. | Interviews.","$aGansworth, Eric L.$vInterviews.",600,"Library of Congress Subject Headings",
" Garcés, Michael John | Interviews.","$aGarcés, Michael John$vInterviews.",600,"Library of Congress Subject Headings",
" García Márquez, Gabriel, | 1928- | Cien años de soledad | Adaptations.","$aGarcía Márquez, Gabriel,$d1928-$tCien años de soledad$vAdaptations.",600,"Library of Congress Subject Headings",
" García Márquez, Gabriel, | 1928- | Increíble y triste historia de la cándida Eréndira y de su abuela desalmada.","$aGarcía Márquez, Gabriel,$d1928-$tIncreíble y triste historia de la cándida Eréndira y de su abuela desalmada.",600,"Library of Congress Subject Headings",
" García, Santiago.","$aGarcía, Santiago.",600,"Library of Congress Subject Headings",
" García, Santiago | Interviews.","$aGarcía, Santiago$vInterviews.",600,"Library of Congress Subject Headings",
" Garín, Loreto | Interviews.","$aGarín, Loreto$vInterviews.",600,"Library of Congress Subject Headings",
" Geiogamah, Hanay, | 1945- | Interviews.","$aGeiogamah, Hanay,$d1945-$vInterviews.",600,"Library of Congress Subject Headings",
" Giaquinto, Stella | Interviews.","$aGiaquinto, Stella$vInterviews.",600,"Library of Congress Subject Headings",
" Giuliani, Rudolph W.","$aGiuliani, Rudolph W.",600,"Library of Congress Subject Headings",
" Glancy, Diane | Interviews.","$aGlancy, Diane$vInterviews.",600,"Library of Congress Subject Headings",
" Goethe, Johann Wolfgang von, | 1749-1832. | Faust | Adaptations.","$aGoethe, Johann Wolfgang von,$d1749-1832.$tFaust$vAdaptations.",600,"Library of Congress Subject Headings",
" Gomes, Miriam | Interviews.","$aGomes, Miriam$vInterviews.",600,"Library of Congress Subject Headings",
" Gómez-Peña, Guillermo | Interviews.","$aGómez-Peña, Guillermo$vInterviews.",600,"Library of Congress Subject Headings",
" Gomez, Terry | Interviews.","$aGomez, Terry$vInterviews.",600,"Library of Congress Subject Headings",
" González, José Luis. | Noche que volvimos a ser gente | Adaptations.","$aGonzález, José Luis.$tNoche que volvimos a ser gente$vAdaptations.",600,"Library of Congress Subject Headings",
" Gounod, Charles, | 1818-1893. | Faust | Adaptations.","$aGounod, Charles,$d1818-1893.$tFaust$vAdaptations.",600,"Library of Congress Subject Headings",
" Graham-Brown, Lawrence.","$aGraham-Brown, Lawrence.",600,"Library of Congress Subject Headings",
" Guamán Poma de Ayala, Felipe, | fl. 1613. | Primer nueva corónica i buen gobierno.","$aGuamán Poma de Ayala, Felipe,$dfl. 1613.$tPrimer nueva corónica i buen gobierno.",600,"Library of Congress Subject Headings",
" Gutierrez Varea, Roberto | Interviews.","$aGutierrez Varea, Roberto$vInterviews.",600,"Library of Congress Subject Headings",
" Guzmán, Sayuri | Interviews.","$aGuzmán, Sayuri$vInterviews.",600,"Library of Congress Subject Headings",
" Hadad, Astrid | Interviews.","$aHadad, Astrid$vInterviews.",600,"Library of Congress Subject Headings",
" Hank Swanson, Amber.","$aHank Swanson, Amber.",600,"Library of Congress Subject Headings",
" Harjo, Joy | Interviews.","$aHarjo, Joy$vInterviews.",600,"Library of Congress Subject Headings",
" Hernandez, Teresa.","$aHernandez, Teresa.",600,"Library of Congress Subject Headings",
" Hernández, Vicky | Interviews.","$aHernández, Vicky$vInterviews.",600,"Library of Congress Subject Headings",
" Hoch, Danny | Interviews.","$aHoch, Danny$vInterviews.",600,"Library of Congress Subject Headings",
" Homer. | Odyssey | Adaptations.","$aHomer.$tOdyssey$vAdaptations.",600,"Library of Congress Subject Headings",
" Hughes, Holly, | 1955 Mar. 10- | Interviews.","$aHughes, Holly,$d1955 Mar. 10-$vInterviews.",600,"Library of Congress Subject Headings",
" Hughes, Holly, | 1955 March 10-","$aHughes, Holly,$d1955 March 10-",600,"Library of Congress Subject Headings",
" Humphrey, Annie.","$aHumphrey, Annie.",600,"Library of Congress Subject Headings",
" Ibsen, Henrik, | 1828-1906. | Dukkehjem. | English.","$aIbsen, Henrik,$d1828-1906.$tDukkehjem.$lEnglish.",600,"Library of Congress Subject Headings",
" Jarry, Alfred, | 1873-1907. | Ubu roi. | English.","$aJarry, Alfred,$d1873-1907.$tUbu roi.$lEnglish.",600,"Library of Congress Subject Headings",
" Jarry, Alfred, | 1873-1907. | Ubu roi | Adaptations.","$aJarry, Alfred,$d1873-1907.$tUbu roi$vAdaptations.",600,"Library of Congress Subject Headings",
" Jesus Christ.","$aJesus Christ.",600,"Library of Congress Subject Headings",
" Jesus Christ | Crucifixion.","$aJesus Christ$xCrucifixion.",600,"Library of Congress Subject Headings",
" Jesus Christ | Nativity | Drama.","$aJesus Christ$xNativity$vDrama.",600,"Library of Congress Subject Headings",
" Jesus Christ | Nativity | Parodies, imitations, etc.","$aJesus Christ$xNativity$vParodies, imitations, etc.",600,"Library of Congress Subject Headings",
" Jesus Christ | Nativity | Performances.","$aJesus Christ$xNativity$xPerformances.",600,"Library of Congress Subject Headings",
" Jesus Christ | Passion.","$aJesus Christ$xPassion.",600,"Library of Congress Subject Headings",
" Juana Inés de la Cruz, | Sister, | 1651-1695.","$aJuana Inés de la Cruz,$cSister,$d1651-1695.",600,"Library of Congress Subject Headings",
" Juana Inés de la Cruz, | Sister, | 1651-1695. | Primero sueño | Criticism and interpretation.","$aJuana Inés de la Cruz,$cSister,$d1651-1695.$tPrimero sueño$xCriticism and interpretation.",600,"Library of Congress Subject Headings",
" Juárez Espinosa, Isabel, | 1958- | Interviews.","$aJuárez Espinosa, Isabel,$d1958-$vInterviews.",600,"Library of Congress Subject Headings",
" Juju.","$aJuju.",600,"Library of Congress Subject Headings",
" Kafka, Franz, | 1883-1924. | Truth about Sancho Panza | Adaptations.","$aKafka, Franz,$d1883-1924.$tTruth about Sancho Panza$vAdaptations.",600,"Library of Congress Subject Headings",
" Kane, Sarah, | 1971-1999. | 4.48 psychosis | Adaptations.","$aKane, Sarah,$d1971-1999.$t4.48 psychosis$vAdaptations.",600,"Library of Congress Subject Headings",
" King, Alanis | Interviews.","$aKing, Alanis$vInterviews.",600,"Library of Congress Subject Headings",
" Kirshenblatt-Gimblett, Barbara | Interviews.","$aKirshenblatt-Gimblett, Barbara$vInterviews.",600,"Library of Congress Subject Headings",
" Kneubuhl, Victoria N. | (Victoria Nalani) | Interviews.","$aKneubuhl, Victoria N.$q(Victoria Nalani)$vInterviews.",600,"Library of Congress Subject Headings",
" Koltès, Bernard-Marie. | Quai ouest.","$aKoltès, Bernard-Marie.$tQuai ouest.",600,"Library of Congress Subject Headings",
" Koning-Martinez, Tessa | Interviews.","$aKoning-Martinez, Tessa$vInterviews.",600,"Library of Congress Subject Headings",
" La Fountain-Stokes, Lawrence M. | (Lawrence Martin), | 1968- | Interviews.","$aLa Fountain-Stokes, Lawrence M.$q(Lawrence Martin),$d1968-$vInterviews.",600,"Library of Congress Subject Headings",
" Lady Gaga.","$aLady Gaga.",600,"Library of Congress Subject Headings",
" Lamar, M. | (Artist)","$aLamar, M.$c(Artist)",600,"Library of Congress Subject Headings",
" Lane, Jill, | 1967- | Interviews.","$aLane, Jill,$d1967-$vInterviews.",600,"Library of Congress Subject Headings",
" Lawson, Stephen | Interviews.","$aLawson, Stephen$vInterviews.",600,"Library of Congress Subject Headings",
" Leonardo, | da Vinci, | 1452-1519.","$aLeonardo,$cda Vinci,$d1452-1519.",600,"Library of Congress Subject Headings",
" Lepecki, André | Interviews.","$aLepecki, André$vInterviews.",600,"Library of Congress Subject Headings",
" Levin, Laura | Interviews.","$aLevin, Laura$vInterviews.",600,"Library of Congress Subject Headings",
" Lewis, George, | 1952-","$aLewis, George,$d1952-",600,"Library of Congress Subject Headings",
" Lewis, George, | 1952- | Interviews.","$aLewis, George,$d1952-$vInterviews.",600,"Library of Congress Subject Headings",
" Leyvas, Henry.","$aLeyvas, Henry.",600,"Library of Congress Subject Headings",
" Ligiéro, Zeca, | 1950-","$aLigiéro, Zeca,$d1950-",600,"Library of Congress Subject Headings",
" Ligiéro, Zeca, | 1950- | Interviews.","$aLigiéro, Zeca,$d1950-$vInterviews.",600,"Library of Congress Subject Headings",
" Londoño, Luz Ángela | Interviews.","$aLondoño, Luz Ángela$vInterviews.",600,"Library of Congress Subject Headings",
" Lopes, Beth | Interviews.","$aLopes, Beth$vInterviews.",600,"Library of Congress Subject Headings",
" López Austin, Alfredo. | Pasado indígena.","$aLópez Austin, Alfredo.$tPasado indígena.",600,"Library of Congress Subject Headings",
" López, Pancho | Interviews.","$aLópez, Pancho$vInterviews.",600,"Library of Congress Subject Headings",
" Lozano, David | Interviews.","$aLozano, David$vInterviews.",600,"Library of Congress Subject Headings",
" Luna, Violeta, | 1943- | Interviews.","$aLuna, Violeta,$d1943-$vInterviews.",600,"Library of Congress Subject Headings",
" Malafaia, Marcos | Interviews.","$aMalafaia, Marcos$vInterviews.",600,"Library of Congress Subject Headings",
" Marighella, Carlos.","$aMarighella, Carlos.",600,"Library of Congress Subject Headings",
" Marighella, Carlos | Poetry.","$aMarighella, Carlos$xPoetry.",600,"Library of Congress Subject Headings",
" Marina, | approximately 1505-approximately 1530.","$aMarina,$dapproximately 1505-approximately 1530.",600,"Library of Congress Subject Headings",
" Marlowe, Christopher, | 1564-1593. | Doctor Faustus | Adaptations.","$aMarlowe, Christopher,$d1564-1593.$tDoctor Faustus$vAdaptations.",600,"Library of Congress Subject Headings",
" Márquez, Rosa Luisa.","$aMárquez, Rosa Luisa.",600,"Library of Congress Subject Headings",
" Márquez, Rosa Luisa | Interviews.","$aMárquez, Rosa Luisa$vInterviews.",600,"Library of Congress Subject Headings",
" Martín B., Jesús | (Martín Barbero) | Interviews.","$aMartín B., Jesús$q(Martín Barbero)$vInterviews.",600,"Library of Congress Subject Headings",
" Martínez Tabares, Vivian, | 1956- | Interviews.","$aMartínez Tabares, Vivian,$d1956-$vInterviews.",600,"Library of Congress Subject Headings",
" Martinez, Dena | Interviews.","$aMartinez, Dena$vInterviews.",600,"Library of Congress Subject Headings",
" Martins, Leda Maria | Interviews.","$aMartins, Leda Maria$vInterviews.",600,"Library of Congress Subject Headings",
" Mary, | Blessed Virgin, Saint | Apparitions and miracles | Drama.","$aMary,$cBlessed Virgin, Saint$xApparitions and miracles$vDrama.",600,"Library of Congress Subject Headings",
" Matallana, Mario | Interviews.","$aMatallana, Mario$vInterviews.",600,"Library of Congress Subject Headings",
" Matlock, Michelle | Interviews.","$aMatlock, Michelle$vInterviews.",600,"Library of Congress Subject Headings",
" McCullers, Carson, | 1917-1967. | Ballad of the sad café.","$aMcCullers, Carson,$d1917-1967.$tBallad of the sad café.",600,"Library of Congress Subject Headings",
" Medea, | consort of Aegeus, King of Athens (Mythological character) | Drama.","$aMedea,$cconsort of Aegeus, King of Athens (Mythological character)$vDrama.",600,"Library of Congress Subject Headings",
" Meitin, Alejandro | Interviews.","$aMeitin, Alejandro$vInterviews.",600,"Library of Congress Subject Headings",
" Michelson, Alan | Interviews.","$aMichelson, Alan$vInterviews.",600,"Library of Congress Subject Headings",
" Miller, Isabel, | 1924- | Place for us.","$aMiller, Isabel,$d1924-$tPlace for us.",600,"Library of Congress Subject Headings",
" Miller, Jennifer, | 1961- | Interviews.","$aMiller, Jennifer,$d1961-$vInterviews.",600,"Library of Congress Subject Headings",
" Miller, Tim, | 1958-","$aMiller, Tim,$d1958-",600,"Library of Congress Subject Headings",
" Mockus, Antanas | Interviews.","$aMockus, Antanas$vInterviews.",600,"Library of Congress Subject Headings",
" Molière, | 1622-1673. | Malade imaginaire. | Portuguese | Drama.","$aMolière,$d1622-1673.$tMalade imaginaire.$lPortuguese$vDrama.",600,"Library of Congress Subject Headings",
" Moreno, Soni | Interviews.","$aMoreno, Soni$vInterviews.",600,"Library of Congress Subject Headings",
" Morris, Tracie.","$aMorris, Tracie.",600,"Library of Congress Subject Headings",
" Moses, Daniel David, | 1952- | Interviews.","$aMoses, Daniel David,$d1952-$vInterviews.",600,"Library of Congress Subject Headings",
" Mouriño, Nora | Interviews.","$aMouriño, Nora$vInterviews.",600,"Library of Congress Subject Headings",
" Mozart, Wolfgang Amadeus, | 1756-1791. | Don Giovanni.","$aMozart, Wolfgang Amadeus,$d1756-1791.$tDon Giovanni.",600,"Library of Congress Subject Headings",
" Mozart, Wolfgang Amadeus, | 1756-1791. | Zauberflöte.","$aMozart, Wolfgang Amadeus,$d1756-1791.$tZauberflöte.",600,"Library of Congress Subject Headings",
" Müller, Heiner, | 1929-1995. | Prometheus | Adaptations.","$aMüller, Heiner,$d1929-1995.$tPrometheus$vAdaptations.",600,"Library of Congress Subject Headings",
" Muñoz, Ernesto.","$aMuñoz, Ernesto.",600,"Library of Congress Subject Headings",
" Muñoz, José Esteban.","$aMuñoz, José Esteban.",600,"Library of Congress Subject Headings",
" Muñoz, José Esteban | Interviews.","$aMuñoz, José Esteban$vInterviews.",600,"Library of Congress Subject Headings",
" Muñoz, José Esteban | Friends and associates.","$aMuñoz, José Esteban$xFriends and associates.",600,"Library of Congress Subject Headings",
" Newsome, Rashaad, | 1979-","$aNewsome, Rashaad,$d1979-",600,"Library of Congress Subject Headings",
" Nolan, Yvette | Interviews.","$aNolan, Yvette$vInterviews.",600,"Library of Congress Subject Headings",
" Núñez, Lisímaco | Interviews.","$aNúñez, Lisímaco$vInterviews.",600,"Library of Congress Subject Headings",
" Ochieng' Nyongó, Tavia Amolo | Interviews.","$aOchieng' Nyongó, Tavia Amolo$vInterviews.",600,"Library of Congress Subject Headings",
" Oedipus | (Greek mythological figure) | Drama.","$aOedipus$c(Greek mythological figure)$vDrama.",600,"Library of Congress Subject Headings",
" Oliveira, Ana Gita de.","$aOliveira, Ana Gita de.",600,"Library of Congress Subject Headings",
" Oliveira, Benjamim de, | 1870-1954.","$aOliveira, Benjamim de,$d1870-1954.",600,"Library of Congress Subject Headings",
" Orpheus | (Greek mythological character)","$aOrpheus$c(Greek mythological character)",600,"Library of Congress Subject Headings",
" Osorio, Jamaica | Interviews.","$aOsorio, Jamaica$vInterviews.",600,"Library of Congress Subject Headings",
" Paredes, Julieta | Interviews.","$aParedes, Julieta$vInterviews.",600,"Library of Congress Subject Headings",
" Pasolini, Pier Paolo, | 1922-1975. | Mamma Roma | Adaptations.","$aPasolini, Pier Paolo,$d1922-1975.$tMamma Roma$vAdaptations.",600,"Library of Congress Subject Headings",
" Pazos, Luis | Interviews.","$aPazos, Luis$vInterviews.",600,"Library of Congress Subject Headings",
" Pellegrini, Ann, | 1964- | Interviews.","$aPellegrini, Ann,$d1964-$vInterviews.",600,"Library of Congress Subject Headings",
" Pentheus | King of Thebes (Mythological character) | Drama.","$aPentheus$cKing of Thebes (Mythological character)$vDrama.",600,"Library of Congress Subject Headings",
" Perón, Eva, | 1919-1952.","$aPerón, Eva,$d1919-1952.",600,"Library of Congress Subject Headings",
" Pinochet Ugarte, Augusto.","$aPinochet Ugarte, Augusto.",600,"Library of Congress Subject Headings","HI2019_100_01"
" Pleasant, David | Interviews.","$aPleasant, David$vInterviews.",600,"Library of Congress Subject Headings",
" Podemski, Jennifer | Interviews.","$aPodemski, Jennifer$vInterviews.",600,"Library of Congress Subject Headings",
