HI_number,﻿NOID,Cataloged Status,Publication Cycle,Correction_note,Format,Source_Tape_Generation,Mastering Offset Timecode,Run_Time,Series_Title,Meeting_Information,Title,Alternate_Titles,Date_of_Production,Location_Venue,Language,Main_Production_Credits,Additional_Production_Credits,Participants,Performers,Worktypes,Performance_Genres,Summary,Subjects,Rights_Holder,Broadcast_Note,Note_to_Cataloger,Pattern
HI2018.067_01,k6djhmhc,,2020-08 August,Updated: Title; Summary; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:07:51;00,Billionaires for Bush Collection,,Checking in With Cheney,"Billionaires for Bush Big Business Minute, INN News",2005 Oct. 21.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]Ivy and Monet get a call from the Big Dick Himself, as Vice President Cheney calls in to dismiss rumors that the Bush Administration is worried about fallout from the Valerie Plame leak. When US diplomat Joseph C. Wilson publicly contradicts George Bush's assertion about using uraniam in Niger for constructing weapons of mass destruction in Iraq, the White House punishes him, betraying his wife's identity as a covert CIA operative. Valerie Plame's identity was revealed to the press by the Vice President's Chief of Staff Scooter Libby who is later convicted of perjury and obstruction of Justice. [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, HalliburtonCEOs, and other winners under George W. Bush's economic policies.Headquartered on Wall Street, and with over 60 chapters nationwide,Billionaires for Bush worked tirelessly to ensure the success of Bush-erapolicies that put profits over people. billionairesforbush.com","United States|Indictments|Legal defense fund|Tax legislation|Bush, George W. (George Walker), 1946-|Chinese--economic conditions|Credit--law and legislation|Corruption--United States",Andrew Boyd,,,2
HI2018.068_01,ffbg7m1g,,2020-08 August,Updated: Summary; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:06:28;00,Billionaires for Bush Collection,,NORTH TO ALA$KA,"Billionaires for Bush Big Business Minute, INN News",2005 Oct. 17.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]News anchor Monet Oliver DePlace responds to fan mail while co-anchor Ivy League-Legacy travels to Ketchikan, Alaska. There, she investigates Republican Representative Don Young's achievements in pork barrell spending, including the ""Bridge to Nowhere,"" an infrastructural snafu that would connect the town of Ketchikan (population 8,900) with its airport on the Island of Gravina (population 50) at a cost to federal taxpayers of $320 million, all thanks to Bush's Highway Bill. [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and otherwinners under George W. Bush's economic policies. Headquartered on WallStreet, and with over 60 chapters nationwide, Billionaires for Bush workedtirelessly to ensure the success of Bush-era policies that put profits overpeople. billionairesforbush.com","United States|Alaska|Infrastructure (economics) United States|Bush, George W. (George Walker), 1946-|Transportation|Highway bridges|Environmental remediation",Andrew Boyd,,,2
HI2018.069_01,9p8czkh0,,2020-08 August,Updated: Alternate titles; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:05:33;00,Billionaires for Bush Collection,,Downing Street Memo...So What?,"Billionaires for Bush Big Business Minute, INN News",2005 July 1.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]Anchor Monet Oliver DePlace cuts through the fluff with anincisive editorial on the rush to war; meanwhile, Ivy League-Legacy jetsoff to Monaco with the Bush twins for a Jaager-fueled celebration of newIraqi prison contracts. [BIO]Billionaires for Bush is a grassroots networkof corporate lobbyists, decadent heiresses, Halliburton CEOs, and otherwinners under George W. Bush's economic policies. Headquartered on WallStreet, and with over 60 chapters nationwide, Billionaires for Bush workedtirelessly to ensure the success of Bush-era policies that put profits overpeople. billionairesforbush.com","United States|Bush, George W. (George Walker), 1946-|Iraq War, 2003-2011|Prison labor|Abu Ghraib Prison|War profiteering--United States",Andrew Boyd,,,2
HI2018.070_01,5x69pk0v,,2020-08 August,Updated: Alternate titles; Summary; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:27:53;00,Billionaires for Bush Collection,,Billionaires for Bush Big Business Minute Compilation,"Billionaires for Bush Big Business Minute, INN News",2005,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]Broadcast 1: There's a growing social security crisis: Wall Streetisn't getting their cut. Monet Oliver DePlace and Ivy League-Legacy address the Bush administration's latest efforts to auctionoff America's federal aid to the highest bidder.Broadcast 2: Limit Victims' Rights! Ivy League-Legacy anchors a segment onthe Bush administration's new legislation meant to reduce corporateaccountability for those Americans hurt, maimed or killed by industrial ormedical negligence. Reporter Monet Oliver DePlace calls in from thepolluted shores of a chemical plant to describe how jury selection andillegal corruption can cut off those class action lawsuits at theknees!Broadcast 3: With credit card companies profiting from predatory loans andsky high interest rates, reporter Ivy League-Legacy calls in from her newyacht—the S.S. WriteOff—to explain how the Bush Administration's newbankruptcy policy can be a creative accounting tool for billionaires likeyou and me.Broadcast 4: Tax Day is here and the income gap is at an all time high!Special guest Buddy O' Bush calls in from the Oval Office to thankAmerica's children for paying off the country's deficit with their futurelabor. Reporter Shirley Loaded interviews billionaires on the street inWoodstock, New York to ask how they'll be spending their tax cut windfalls.Xena Phobe reports live from Los Angeles to track how billions of incometax dollars are funneled from working class families to Enron shareholders.Broadcast 5: Clean air: Can't sell it! Who needs it? With Congress finallydelivering on President George Bush's promise to open protected lands todrilling, mining and logging corporations, the race is on to make MotherNature a cash cow. Monet Oliver DePlace reports from Yosemite National Parkto teach everyday citizens how to turn any 500 year old sequoia into amoney tree!Broadcast 6: Monet Oliver DePlace and Ivy League-Legacy detail RepublicanTom DeLay's ethics cleansing in the House of Representatives. Buddy O' Bushphones in from Capitol Hill to defend the beleagured lobbyist fromallegations that his congressional influence was routinely bought and soldto the highest bidder. [BIO]Billionaires for Bush is a grassroots networkof corporate lobbyists, decadent heiresses, Halliburton CEOs, and otherwinners under George W. Bush's economic policies. Headquartered on WallStreet, and with over 60 chapters nationwide, Billionaires for Bush workedtirelessly to ensure the success of Bush-era policies that put profits overpeople. billionairesforbush.com","United States|Bush, George W. (George Walker), 1946-|Social security|Health care reform|Bankruptcy|Tax litigation|Environmental accountability",Andrew Boyd,,,2
HI2018.071_01,2547djf9,,2020-08 August,Updated: Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:04:53;00,Billionaires for Bush Collection,,Supreme Court: Why Rent When You Can Own?,"Billionaires for Bush Big Business Minute, INN News",,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]Monet Oliver DePlace reports from Capitol Hill to sing the praisesof John Roberts Jr., President Bush's new business-friendly Supreme Courtnominee. He also doubles down on his claim that Vice President Dick Cheneyhad nothing to do with the Valerie Plame leak. [BIO]Billionaires for Bushis a grassroots network of corporate lobbyists, decadent heiresses,Halliburton CEOs, and other winners under George W. Bush's economicpolicies. Headquartered on Wall Street, and with over 60 chaptersnationwide, Billionaires for Bush worked tirelessly to ensure the successof Bush-era policies that put profits over people. billionairesforbush.com","United States|Bush, George W. (George Walker), 1946-|Supreme Court justices|Lobbyists--United States|Mining|Logging",Andrew Boyd,,,2
HI2018.072_01,xd254j3c,,2020-08 August,Updated: Summary; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:05:08;00,Billionaires for Bush Collection,,The Energy Bill: To the Texans Go the Spoils,"Billionaires for Bush Big Business Minute, INN News",2005 Aug. 5.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]Monet Oliver DePlace returns home to the anchor desk, as Ivy League-Legacy reports live from the Gulf of Mexico, where Big Oil and the Bush Administration are partying hard on an offshore rig thanks to the new Energy Bill. Luckily, there wont be much mess to clean since insurance covers any spills, taxpayers foot the bills, and consumers still pay record prices at the pump! All aboard the golden pipeline from Washington D.C. to Texas! [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush's economic policies. Headquartered on Wall Street, and with over 60 chapters nationwide, Billionaires for Bush worked tirelessly to ensure the success of Bush-era policies that put profits overpeople. billionairesforbush.com","United States|Bush, George W. (George Walker), 1946-|Energy consumption--law and legislation|Oil industries--government policies--United States|Tax legislation|Gulf Coast",Andrew Boyd,,,2
HI2018.073_01,sn02vhm4,,2020-08 August,Updated: Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:05:43;00,Billionaires for Bush Collection,,Billionaires for Bush's War,"Billionaires for Bush Big Business Minute, INN News",2005 Sept. 23.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]Monet Oliver DePlace anchors as Senior Protest Scholar IvyLeague-Legacy reports live from Washington D.C., where Billionaires ForBush plan a brave counter-protest against the massive anti-wardemonstrations planned for the weekend. [BIO]Billionaires for Bush is agrassroots network of corporate lobbyists, decadent heiresses, HalliburtonCEOs, and other winners under George W. Bush's economic policies.Headquartered on Wall Street, and with over 60 chapters nationwide,Billionaires for Bush worked tirelessly to ensure the success of Bush-erapolicies that put profits over people. billionairesforbush.com","United States|Bush, George W. (George Walker), 1946-|Anti war demonstrations|Iraq War 2003-2011|Excessive force used by police|Arrest (police methods)",Andrew Boyd,,,2
HI2018.074_01,nzs7hdsj,,2020-08 August,Updated: Run time; Date of production; Production Credits; Additional Production Credits; Performers; Summary; Performance Genre; Subjects,Media source original: 1 videodisc (DVD) ; dimensions: 4 3/4 in. (OUTSOURCE CONVERSION),copy of original recording,,0:29:15;00,Billionaires for Bush Collection,,Our Vision Our Future!,,,,English,"Billionaires for Bush, creator. Mark Voelpel, director; Mark Voelpel, producer; Mark Voelpel, David Warth, Matt Johnson, writer.","Sarah Cameron Sunde, Maria Dizzia, associate producer; Courtney Logan, costume designer; Ben Posnack, Brooke Montgomery, sound recording.",,"Billy Merritt, Jennifer Fairmont, Mort Milder, Terry Caza, Jack Marks, Walter Tyszka, Garry Goodrow, Brian Huskey, Carter Roy, Christopher Graham, Zeroboy, performer.",Performance,Satire,"[SUMMARY]The performance Our Vision Our Future is an effort by Billionaires for Bush to ""promote American leadership that builds billionaire equity."" In this satirical talk show program, co-hosts Jennifer Fairmont and Forrest Winnower III entertain a series of billionaire special guests who tell it like it is. This raison d'etre gives you the facts the liberal left wing media won't. War? That's money in the bank. Terrorism? Not a problem. Taxes? Meant for the poor. If you need help navigating the difficult challenges of a life with more than one thousand million dollars, you'll definitely want to heed this call to build a richer future. [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush's economic policies. Headquartered on Wall Street, and with over 60 chapters nationwide, Billionaires for Bush worked tirelessly to ensure the success of Bush-era policies that put profits over people. billionairesforbush.com","Bush, George W. (George Walker), 1946-|War profiteering|Workers' compensation|Terrorism|Tax Legislation",Andrew Boyd,,,2
HI2018.075_01,j6q57d9p,,2020-08 August,Updated: Run time; Date of production; Main Production Credits; Additional Credits; Performers; Summary and Bio; Subjects,Media source original: 1 videodisc (DVD) ; dimensions: 4 3/4 in. (OUTSOURCE CONVERSION),copy of original recording,,0:13:46;00,Billionaires for Bush Collection,,"Billionaires for Bush Compilation: TV Spots, Music Videos, Action Footage",Just Like Us; Billionares are in the House; Billionaires Love Karl Rove; Billionaires vs. Bioneers,,,English,"Billionaires for Bush, creator. Felonius Ax, executive producer. G Money (Cathy Gesualdo), Kent Nichols, producer. Cecil B. d'Million (Miles Sonenbaum), director.","Felonius Ax (Clifford J. Tasner), 50 Billion (Wil B), songwriter; Ho' Lotta Bling (Marion Ramsey), Warren Proffet (Ross Wright), Felonious Ax, vocalist; Warren Proffet (Ross Wright), recording; Georgie O'Marauder (Paul Berolzheimer), sound mixer.",,"Wil B, Guensie Gracy, Shamya Hawque, Kerry Hower, Scott Purcell, Ka'amilya Ali, Christian L. Scott, Nichelle Mounue, performer.",Performance,Satire,"[SUMMARY]Billionaires for Bush share some of their best satire in this compilation, which includes:- Political tv commercials! As US casualties and war debts pile up from the Iraq War, it's always great to remember why we're fighting. Here's a hint: it's not freedom, Uncle Sam... it's that black gold that warms our hearts! Stay tuned!- Hip-Hop videos! MC 50 Mil spits hot bars and gives us a sneak peak at the young black Billionaire lifestyle. Keep it real in this cringeworthy imitation of ealy 2000's rap videos, complete with gaudy mansion, flashy rental cars, and scantilty clad women! Because sometimes even a landed billionaire wants to party like the nouveau rich!- Street interventions with trained imposters! The Billionaires show up in New York City to intercept Karl Rove on his way to meet George W. Bush's Maverick fundraisers. With environmentalists already on hand protesting the administration's response to the September 11th attacks, it's a good old-fashioned protest party!- Environmentalist Party Crashing! Phil T Rich and Monet Oliver De Place crash the stage at a Bioneer's conference, dropping the cold hard facts to a captive audience of eco-apologists. Ever the orators, the silver-tongued Billionaires defend the Bush Administrations's healthy forest initiatives (such as logging) and extol the hidden virtues of global warming (great tans!) to the cackles and heckles of their political and ideological opposites. [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush's economic policies. Headquartered on Wall Street, and with over 60 chapters nationwide, Billionaires for Bush worked tirelessly to ensure the success of Bush-era policies that put profits over people. billionairesforbush.com","Iraq War 2003-2011|Public demonstrations|Economic reform|Bush, George W. (George Walker), 1946-|Climate change|Consumption (Economics)--United States--Social aspects",Andrew Boyd,,,2
HI2018.076_01,dfn2zcs6,,2020-08 August,Updated: Date of Production; Additional Production Credits; Participants; Performers; Summary and Bio; Subjects,Media source original: 1 videodisc (DVD) ; dimensions: 4 3/4 in. (OUTSOURCE CONVERSION),original recording,,0:11:08;00,Billionaires for Bush Collection,,Billionaires Sell the Bell,,"26, Sept. 2004.","Philadelphia. Pennsylvania, USA",English,"Billionaires for Bush, creator.","Sean Stoops, videographer; Anita Schillhorn, Van Veen, editor.","Tina Migeot, commentary.","Billionaires for Bush-Philadelphia Chapter, performer.",Performance,Satire,"[SUMMARY] Corporations, start your bidding! The Billionaires for Bush hit the streets in Philadelphia to auction off the Liberty Bell and pay for trillions of dollars in U.S. tax cuts. Through a varied extravaganza of speeches, chants, and song and dance, the noble descendants of our founding fathers re-declare their dependence on foreign labor, foreign oil and foreign wars. [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush's economic policies. Headquartered on Wall Street, and with over 60 chapters nationwide, Billionaires for Bush worked tirelessly to ensure the success of Bush-era policies that put profits over people. billionairesforbush.com","Public demonstrations|Economic reform|Bush, George W. (George Walker), 1946-|Oil industries -- government policies -- United States|Tax legislation",Andrew Boyd,,,2
