NOID,Copyright Status,DMD Status,Digitized Status,Cataloged Status,Publication Status - Stage,Publication Status - Production,HI #,Copyright Holder,Title,Collection,Run-time (pre-publication estimate),Run-time (post-publication),Publication Cycle,Jira Ticket,Date DMD Finalized,Aleph BSN,OCLC Number,Date Cataloging Finalized,Date Converted to MODS and Staged for Publication,Date Published to Stage,"7. STAGEweb Link
DLTS (David A)",Date Reviewed on Stage,Notes for Stage version,Date Published to Production,"9. PRODUCTIONweb Link
DLTS (David A)",Notes,Local save file number,Name Authorities
ffbg7m1g,checked,1 checked out of 1,,,,,HI2018_068_01,Andrew Boyd,NORTH TO ALA$KA,Billionaires for Bush,,,2020-08 August,,,,,,,,,,,,,,,
9p8czkh0,checked,1 checked out of 1,,,,,HI2018_069_01,Andrew Boyd,Downing Street Memo...So What?,Billionaires for Bush,,,2020-08 August,,,,,,,,,,,,,,,
5x69pk0v,checked,1 checked out of 1,,,,,HI2018_070_01,Andrew Boyd, Billionaires for Bush Big Business Minute Compilation,Billionaires for Bush,,,2020-08 August,,,,,,,,,,,,,,,
2547djf9,checked,1 checked out of 1,,,,,HI2018_071_01,Andrew Boyd,Supreme Court: Why Rent When You Can Own?,Billionaires for Bush,,,2020-08 August,,,,,,,,,,,,,,,
xd254j3c,checked,1 checked out of 1,,,,,HI2018_072_01,Andrew Boyd,The Energy Bill: To the Texans Go the Spoils,Billionaires for Bush,,,2020-08 August,,,,,,,,,,,,,,,
sn02vhm4,checked,1 checked out of 1,,,,,HI2018_073_01,Andrew Boyd,Billionaires for Bush's War,Billionaires for Bush,,,2020-08 August,,,,,,,,,,,,,,,
nzs7hdsj,checked,1 checked out of 1,,,,,HI2018_074_01,Andrew Boyd,Our Vision Our Future!,Billionaires for Bush,,,2020-08 August,,,,,,,,,,,,,,,
j6q57d9p,checked,1 checked out of 1,,,,,HI2018_075_01,Andrew Boyd,"Billionaires for Bush Compilation: TV Spots, Music Videos, Action 
Footage",Billionaires for Bush,,,2020-08 August,,,,,,,,,,,,,,,
dfn2zcs6,checked,1 checked out of 1,,,,,HI2018_076_01,Andrew Boyd,Billionaires Sell the Bell,Billionaires for Bush,,,2020-08 August,,,,,,,,,,,,,,,
8pk0pc99,checked,1 checked out of 1,checked,,,,HI2020_153_01,Nelda Castillo,Arrivals,El Ciervo Encantado,1:11:57.00,,2020-08 August,,,,,,,,,,,,,,,
4xgxdbrm,checked,1 checked out of 1,checked,,,,HI2020_154_01,Nelda Castillo,Arrivals (Excerpt),El Ciervo Encantado,27:18.00,,2020-08 August,,,,,,,,,,,,,,,
15dv4b7h,checked,1 checked out of 1,checked,,,,HI2020_155_01,Hemispheric Institute of Performance and Politics,El Ciervo Encantado on Arrivals: An Artist Talk with Performance Fragments,El Ciervo Encantado,1:07:56.00,,2020-08 August,,,,,,,,,,,,,,,
wh70s7md,checked,1 checked out of 1,checked,,,,HI2020_156_01,Nelda Castillo,Departures,El Ciervo Encantado,1:25:40.00,,2020-08 August,,,,,,,,,,,,,,,
rr4xh735,checked,1 checked out of 1,checked,,,,HI2020_157_01,Nelda Castillo,One Melon…!! Your Melon…!!,El Ciervo Encantado,54:01.00,,2020-08 August,,,,,,,,,,,,,,,
n02v76m3,checked,1 checked out of 1,checked,,,,HI2020_158_01,Nelda Castillo,Rhapsody for the Mule,El Ciervo Encantado,46:41.00,,2020-08 August,,,,,,,,,,,,,,,
h70rz63t,checked,1 checked out of 1,checked,,,,HI2020_159_01,Nelda Castillo,P.I.B. 2018,El Ciervo Encantado,40:22.00,,2020-08 August,,,,,,,,,,,,,,,
cfxpp5kd,checked,1 checked out of 1,checked,,,,HI2020_160_01,Nelda Castillo,Pájaros de la playa,El Ciervo Encantado,32:13.00,,2020-08 August,,,,,,,,,,,,,,,
7pvmd528,checked,1 checked out of 1,,,,,HI2020_221_01,Lois Elaine Griffith,Dead Poets Slam,The Nuyorican Poets Cafe Founders Archive Project,2:01:13.00,,2020-12 December,,,,,,,,,,,,,,,
3xsj44jx,checked,1 checked out of 1,,,,,HI2020_222_01,Lois Elaine Griffith,Verbs on Asphalt Launch,The Nuyorican Poets Cafe Founders Archive Project,36:33.00,,2020-12 December,,,,,,,,,,,,,,,
08kps1p2,checked,1 checked out of 1,,,,,HI2020_223_01,Lois Elaine Griffith,1996 Grand Slam,The Nuyorican Poets Cafe Founders Archive Project,1:05:10.00,,2020-12 December,,,,,,,,,,,,,,,
vhhmh1cc,checked,1 checked out of 1,,,,,HI2020_224_01,Lois Elaine Griffith,1999 Grand Slam (Version 1),The Nuyorican Poets Cafe Founders Archive Project,1:00:58.00,,2020-12 December,,,,,,,,,,,,,,,
qrfj70w8,checked,1 checked out of 1,,,,,HI2020_225_01,Lois Elaine Griffith,1999 Grand Slam (Version 2),The Nuyorican Poets Cafe Founders Archive Project,2:01:43.00,,2020-12 December,,,,,,,,,,,,,,,
m0cfz0d8,checked,1 checked out of 1,,,,,HI2020_226_01,Lois Elaine Griffith,Friday Night Slam: August 2003,The Nuyorican Poets Cafe Founders Archive Project,1:03:01.00,,2020-12 December,,,,,,,,,,,,,,,
g79cnzwr,checked,1 checked out of 1,,,,,HI2020_227_01,Lois Elaine Griffith,2003 Grand Slam,The Nuyorican Poets Cafe Founders Archive Project,31:11.00,,2020-12 December,,,,,,,,,,,,,,,
bg79czbc,checked,1 checked out of 1,,,checked,,HI2020_228_01,Lois Elaine Griffith,Friday Night Slam: Keith Roach Hosts (Version 1),The Nuyorican Poets Cafe Founders Archive Project,55:09.00,,2020-12 December,,,,,,,,,,,,,,,
6q573xt1,checked,1 checked out of 1,,,,,HI2020_229_01,Lois Elaine Griffith,Friday Night Slam: Keith Roach Hosts (Version 2),The Nuyorican Poets Cafe Founders Archive Project,1:02:31.00,,2020-12 December,,,,,,,,,,,,,,,
31zcrtz3,checked,1 checked out of 1,,,,,HI2020_230_01,Lois Elaine Griffith,2004 Grand Slam,The Nuyorican Poets Cafe Founders Archive Project,55:32.00,,2020-12 December,,,,,,,,,,,,,,,
z8w9gtnd,checked,1 checked out of 1,,,,,HI2020_231_01,Lois Elaine Griffith,2002 Semi Final Grand Slam (Version 1),The Nuyorican Poets Cafe Founders Archive Project,1:17.00,,2020-12 December,,,,,,,,,,,,,,,
tht76t48,checked,1 checked out of 1,,,,,HI2020_232_01,Lois Elaine Griffith,2002 Semi Final Grand Slam (Version 2),The Nuyorican Poets Cafe Founders Archive Project,46:10.00,,2020-12 December,,,,,,,,,,,,,,,
prr4xsms,checked,1 checked out of 1,,,,,HI2020_233_01,Lois Elaine Griffith,Clare Ultimo Tribute,The Nuyorican Poets Cafe Founders Archive Project,35:20.00,,2020-12 December,,,,,,,,,,,,,,,
k0p2ns4x,checked,1 checked out of 1,,,,,HI2020_234_01,Lois Elaine Griffith,Friday Night Slam: May 2000,The Nuyorican Poets Cafe Founders Archive Project,2:05:15.00,,2020-12 December,,,,,,,,,,,,,,,
f7m0crmk,checked,1 checked out of 1,,,,,HI2020_235_01,Lois Elaine Griffith,2000 Grand Slam,The Nuyorican Poets Cafe Founders Archive Project,1:05:15.00,,2020-12 December,,,,,,,,,,,,,,,
9ghx3r3b,checked,1 checked out of 1,,,,,HI2020_236_01,Lois Elaine Griffith,Friday Night Slam 2003: Nuyorican Poets Perform Their Favorites,The Nuyorican Poets Cafe Founders Archive Project,1:02:40.00,,2020-12 December,,,,,,,,,,,,,,,
5tb2rn8s,checked,1 checked out of 1,,,,,HI2020_237_01,Lois Elaine Griffith,Friday Night Slam: 2001,The Nuyorican Poets Cafe Founders Archive Project,1:36:42.00,,2020-12 December,,,,,,,,,,,,,,,
2280gmsq,checked,1 checked out of 1,,,,,HI2020_238_01,Lois Elaine Griffith,The Open Room,The Nuyorican Poets Cafe Founders Archive Project,1:02:40.00,,2020-12 December,,,,,,,,,,,,,,,
x95x6mfp,checked,1 checked out of 1,,,,,HI2020_118_01,Jawole Willa Jo Zollar,The Walkin Talkin Signifying Sassifying Blues Hips Sacred Hips Lowdown Throwdown,Urban Bush Women,7:00.00,,2020-12 December,,,,,,,,,,,,,,,
sj3txkzf,checked,1 checked out of 1,,,,,HI2020_119_01,Jawole Willa Jo Zollar,Bones and Ash (excerpt),Urban Bush Women,1:02:53.00,,2020-12 December,,,,,,,,,,,,,,,
ns1rnkf9,checked,1 checked out of 1,,,,,HI2020_120_01,Jawole Willa Jo Zollar,I Live in Music,Urban Bush Women,12:05.00,,2020-12 December,,,,,,,,,,,,,,,
j0zpcjwp,checked,1 checked out of 1,,,,,HI2020_121_01,Jawole Willa Jo Zollar,"""The Thirteenth Tribe Speaks..."" and ""Nyabingi Dreamtime""",Urban Bush Women,36:15.00,,2020-12 December,,,,,,,,,,,,,,,
d7wm3jcj,checked,1 checked out of 1,,,,,HI2020_122_01,Jawole Willa Jo Zollar,Hair Stories,Urban Bush Women,28:05.00,,2020-12 December,,,,,,,,,,,,,,,
8kprrfjw,checked,1 checked out of 1,,,,,HI2020_123_01,Jawole Willa Jo Zollar,High John the Conqueror (excerpt),Urban Bush Women,6:54.00,,2020-12 December,,,,,,,,,,,,,,,
4tmpgf20,checked,1 checked out of 1,,,,,HI2020_124_01,Jawole Willa Jo Zollar,"Anarchy, Wild Women + Dinah",Urban Bush Women,1:41:01.00,,2020-12 December,,,,,,,,,,,,,,,
12jm6djp,checked,1 checked out of 1,,,,,HI2020_125_01,Jawole Willa Jo Zollar,Soul Deep,Urban Bush Women,48:00.00,,2020-12 December,,,,,,,,,,,,,,,
w9ghxd7v,checked,1 checked out of 1,,,,,HI2020_126_01,Jawole Willa Jo Zollar,Life Dances III: The Empress (Womb Wars),Urban Bush Women,8:44.00,,2020-12 December,,,,,,,,,,,,,,,
rjdfncqh,checked,1 checked out of 1,,,,,HI2020_127_01,Jawole Willa Jo Zollar,"Wild Women Don't Get the Blues / Anarchy, Wild Women + Dinah (excerpts)",Urban Bush Women,21:39.00,,2020-12 December,,,,,,,,,,,,,,,
msbccc54,checked,1 checked out of 1,,,,,HI2020_128_01,Jawole Willa Jo Zollar,Bitter Tongue,Urban Bush Women,16:39.00,,2020-12 December,,,,,,,,,,,,,,,
h1893bnt,checked,1 checked out of 1,,,,,HI2020_129_01,Jawole Willa Jo Zollar,Xpujla + River Songs (Marinesa),Urban Bush Women,1:23:08.00,,2020-12 December,,,,,,,,,,,,,,,
cc2fr7vd,checked,1 checked out of 1,,,,,HI2020_130_01,Jawole Willa Jo Zollar,"Urban Bush Women & the David Murray Octet: ""Batty Moves"" and ""Soul Deep""",Urban Bush Women,1:04:59.00,,2020-12 December,,,,,,,,,,,,,,,
